Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Counterpart],[Disability status],[Fiscal intervention stage],[Freq],[Grounds of discrimination],[Location],[Migratory status],[Name of international institution],[Nature],[Observation Status],[Policy Domains],[Quantile],[Reporting Type],[Sex],[Type of product],[Units]
10.0,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),32.0,Argentina,2021.0,-2.52,2021,,,,,World Bank,,Estimated from income data. Growth rates are for the period of 2016-2021.,,,,,,,,,,G,,,_T,G,,,PERCENT
10.0,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),32.0,Argentina,2021.0,-2.19,2021,,,,,World Bank,,Estimated from income data. Growth rates are for the period of 2016-2021.,,,,,,,,,,G,,,B40,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),32.0,Argentina,1980.0,19.3,1980,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from grouped income data. Urban only. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),32.0,Argentina,1986.0,17.9,1986,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. Urban only. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),32.0,Argentina,1987.0,18.7,1987,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. Urban only. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),32.0,Argentina,1991.0,17.2,1991,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. Urban only. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),32.0,Argentina,1992.0,19.6,1992,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. Urban only. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),32.0,Argentina,1993.0,20.1,1993,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. Urban only. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),32.0,Argentina,1994.0,20.7,1994,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. Urban only. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),32.0,Argentina,1995.0,21.2,1995,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. Urban only. ,,,,,,,,,,G,,,B50,G,,,PERCENT
