Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Bioclimatic belt],[Freq],[Land cover],[Level/Status],[Location],[Mountain Elevation],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),68.0,Bolivia (Plurinational State of),2000.0,108330.0,2000,,,,,FAO. FAOSTAT,,,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),68.0,Bolivia (Plurinational State of),2010.0,108330.0,2010,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),68.0,Bolivia (Plurinational State of),2015.0,108330.0,2015,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),68.0,Bolivia (Plurinational State of),2016.0,108330.0,2016,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),68.0,Bolivia (Plurinational State of),2017.0,108330.0,2017,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),68.0,Bolivia (Plurinational State of),2018.0,108330.0,2018,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),68.0,Bolivia (Plurinational State of),2019.0,108330.0,2019,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),68.0,Bolivia (Plurinational State of),2020.0,108330.0,2020,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),68.0,Bolivia (Plurinational State of),2000.0,55101.39,2000,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),68.0,Bolivia (Plurinational State of),2010.0,53086.01,2010,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
