Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Freq],[IHR Capacity],[Location],[Name of non-communicable disease],[Nature],[Observation Status],[Reporting Type],[Sex],[Substance use disorders],[Type of occupation],[Units]
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),68.0,Bolivia (Plurinational State of),1994.0,47.2,1993 - 1994,,,,,"Gutiérrez M, Ochoa LH, Raggers H (Instituto Nacional de Estadística [Bolivia], Macro International). Bolivia Encuesta Nacional de Demografía y Salud 1994. Calverton, Maryland: Instituto Nacional de Estadística [Bolivia], Macro International; 1994 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),68.0,Bolivia (Plurinational State of),1998.0,59.3,1998,,,,,"Gutiérrez Sardán M, Ochoa LH, Gómez Vargas A (Instituto Nacional de Estadística - INE [Bolivia], Macro International). Bolivia Encuesta Nacional de Demografía y Salud 1998. Calverton, Maryland: Instituto Nacional de Estadística - INE [Bolivia], Macro International; 1998 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),68.0,Bolivia (Plurinational State of),2000.0,67.3,2000,,,,,"Ministerio de Salud y Previsión Social, UNICEF. Encuesta de múltiples indicadores por conglomerados 2000 (MICS 2000). Informe Final. La Paz: UNICEF; 2001 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),68.0,Bolivia (Plurinational State of),2002.0,65.099999999999994,2002,,,,,"Resultados de la Encuesta de Hogares 2002. La Paz: República de Bolivia, Ministerio de Hacienda, Instituto Nacional de Estadística; 2003 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),68.0,Bolivia (Plurinational State of),2004.0,60.8,2003 - 2004,,,,,"Gutiérrez Sardán M, Ochoa LH, Castillo Guerra W, ORC Macro. Bolivia Encuesta Nacional de Demografía y Salud 2003. Calverton, Maryland: Instituto Nacional de Estadística [Bolivia], ORC Macro; 2004 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),68.0,Bolivia (Plurinational State of),2008.0,71.099999999999994,2008,,,,,"Ramiro C, Ochoa LH, Macro International. Bolivia Encuesta Nacional de Demografía y Salud - ENDSA - 2008. Calverton, Maryland: Ministerio de Salud y Deportes and Macro International; 2009 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),68.0,Bolivia (Plurinational State of),2011.0,84,2011,,,,,Encuesta de Hogares 2011. Bolivia: Instituto Nacional de Estadística (INE); 2012 (in Spanish).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),68.0,Bolivia (Plurinational State of),2012.0,82.1,2012,,,,,Anuario Estadístico 2018. Bolivia: INE [Estado Plurinacional de Bolivia]; 2018.,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),68.0,Bolivia (Plurinational State of),2013.0,84.2,2013,,,,,Anuario Estadístico 2018. Bolivia: INE [Estado Plurinacional de Bolivia]; 2018.,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),68.0,Bolivia (Plurinational State of),2014.0,83.9,2014,,,,,Anuario Estadístico 2018. Bolivia: INE [Estado Plurinacional de Bolivia]; 2018.,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),68.0,Bolivia (Plurinational State of),2015.0,88.8,2015,,,,,Anuario Estadístico 2018. Bolivia: INE [Estado Plurinacional de Bolivia]; 2018.,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),68.0,Bolivia (Plurinational State of),2016.0,89.8,2016,,,,,"Encuesta de Demografía y Salud - EDSA 2016. Bolivia: Indicadores Priorizados. La Paz: Ministerio de Salud, Instituto Nacional de Estadística (INE); 2017 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),68.0,Bolivia (Plurinational State of),2019.0,81.099999999999994,2019,,,,,Anuario Estadístico 2018. Bolivia: INE [Estado Plurinacional de Bolivia]; 2018.,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,68.0,Bolivia (Plurinational State of),2000.0,284.00858,2000,,347.65174,235.1973,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,68.0,Bolivia (Plurinational State of),2001.0,261.21929,2001,,319.34046,216.47864,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,68.0,Bolivia (Plurinational State of),2002.0,253.08755,2002,,309.77799,209.80507,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
