Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Cause of death],[Disability status],[Education level],[Freq],[Grounds of discrimination],[Illicit Financial Flows],[Location],[Name of international institution],[Nature],[Observation Status],[Parliamentary committees],[Population Group],[Quantile],[Reporting Type],[Service Attribute],[Sex],[Type of occupation],[Units]
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",76.0,Brazil,2000.0,25.8,2000,,,,,"Dissemination of Information by the SUS Department of Informatics, Brazil",,"ICD10 X85-Y09, Y87.1",,,,,,,,,,C,,,,,G,,BOTHSEX,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",76.0,Brazil,2000.0,47.75,2000,,,,,"Dissemination of Information by the SUS Department of Informatics, Brazil",,"ICD10 X85-Y09, Y87.1",,,,,,,,,,C,,,,,G,,MALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",76.0,Brazil,2000.0,4.22,2000,,,,,"Dissemination of Information by the SUS Department of Informatics, Brazil",,"ICD10 X85-Y09, Y87.1",,,,,,,,,,C,,,,,G,,FEMALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",76.0,Brazil,2001.0,4.28,2001,,,,,"Dissemination of Information by the SUS Department of Informatics, Brazil",,"ICD10 X85-Y09, Y87.1",,,,,,,,,,C,,,,,G,,FEMALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",76.0,Brazil,2001.0,49.93,2001,,,,,"Dissemination of Information by the SUS Department of Informatics, Brazil",,"ICD10 X85-Y09, Y87.1",,,,,,,,,,C,,,,,G,,MALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",76.0,Brazil,2001.0,26.91,2001,,,,,"Dissemination of Information by the SUS Department of Informatics, Brazil",,"ICD10 X85-Y09, Y87.1",,,,,,,,,,C,,,,,G,,BOTHSEX,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",76.0,Brazil,2002.0,27.54,2002,,,,,"Dissemination of Information by the SUS Department of Informatics, Brazil",,"ICD10 X85-Y09, Y87.1",,,,,,,,,,C,,,,,G,,BOTHSEX,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",76.0,Brazil,2002.0,51.27,2002,,,,,"Dissemination of Information by the SUS Department of Informatics, Brazil",,"ICD10 X85-Y09, Y87.1",,,,,,,,,,C,,,,,G,,MALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",76.0,Brazil,2002.0,4.24,2002,,,,,"Dissemination of Information by the SUS Department of Informatics, Brazil",,"ICD10 X85-Y09, Y87.1",,,,,,,,,,C,,,,,G,,FEMALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",76.0,Brazil,2003.0,4.27,2003,,,,,"Dissemination of Information by the SUS Department of Informatics, Brazil",,"ICD10 X85-Y09, Y87.1",,,,,,,,,,C,,,,,G,,FEMALE,,PER_100000_POP
