Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Age],[Freq],[Location],[Nature],[Observation Status],[Reporting Type],[Sex],[Tariff regime (status)],[Type of product],[Type of speed],[Units]
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),76.0,Brazil,2010.0,39.0571846198129,2010.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),76.0,Brazil,2011.0,39.729288075644,2011.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),76.0,Brazil,2012.0,40.2531342972609,2012.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),76.0,Brazil,2013.0,39.5691183943635,2013.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),76.0,Brazil,2014.0,38.4819604790116,2014.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),76.0,Brazil,2015.0,40.3490325208161,2015.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),76.0,Brazil,2016.0,41.0095555909251,2016.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),76.0,Brazil,2017.0,39.7913977889613,2017.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),76.0,Brazil,2018.0,40.5009622183018,2018.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),76.0,Brazil,2019.0,41.7761861698118,2019.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),76.0,Brazil,2020.0,38.6525269239951,2020.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),76.0,Brazil,2021.0,41.9808763939054,2021.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),76.0,Brazil,2010.0,55.8796745081457,2010.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),76.0,Brazil,2011.0,57.3771775781748,2011.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),76.0,Brazil,2012.0,56.3967140105625,2012.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),76.0,Brazil,2013.0,55.2830047427375,2013.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),76.0,Brazil,2014.0,51.4583525622169,2014.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),76.0,Brazil,2015.0,46.7666862310241,2015.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),76.0,Brazil,2016.0,47.4660214958695,2016.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),76.0,Brazil,2017.0,48.0094933106487,2017.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),76.0,Brazil,2018.0,49.9410788653927,2018.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),76.0,Brazil,2019.0,50.6789606184049,2019.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),76.0,Brazil,2020.0,45.2976347590598,2020.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),76.0,Brazil,2021.0,57.2424905693658,2021.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",76.0,Brazil,2010.0,1517702.43683346,2010.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",76.0,Brazil,2011.0,1738705.41207063,2011.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",76.0,Brazil,2012.0,1938092.21142214,2012.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",76.0,Brazil,2013.0,2109674.63444638,2013.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",76.0,Brazil,2014.0,2223854.02474105,2014.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",76.0,Brazil,2015.0,2419241.64301854,2015.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",76.0,Brazil,2016.0,2571023.55133743,2016.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",76.0,Brazil,2017.0,2620454.14519851,2017.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",76.0,Brazil,2018.0,2836744.90513621,2018.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",76.0,Brazil,2019.0,3086897.12289128,2019.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",76.0,Brazil,2020.0,2886421.8984553,2020.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",76.0,Brazil,2021.0,3643725.96852138,2021.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",76.0,Brazil,2005.0,9.61167,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,IND,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",76.0,Brazil,2005.0,8.83962,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ALP,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",76.0,Brazil,2005.0,20.0,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,CLO,,PERCENT
