Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Frequency of Chlorophyll-a concentration],[Level/Status],[Nature],[Observation Status],[Reporting Type],[Sampling Stations],[Units]
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",152.0,Chile,2005.0,6.99464,2005,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",152.0,Chile,2006.0,4.90543,2006,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",152.0,Chile,2007.0,4.10068,2007,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",152.0,Chile,2008.0,4.70133,2008,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",152.0,Chile,2009.0,6.18969,2009,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",152.0,Chile,2010.0,6.58532,2010,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",152.0,Chile,2011.0,7.93594,2011,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",152.0,Chile,2012.0,4.95451,2012,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",152.0,Chile,2013.0,6.92996,2013,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",152.0,Chile,2014.0,10.70367,2014,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",152.0,Chile,2015.0,7.33198,2015,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",152.0,Chile,2016.0,4.34119,2016,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",152.0,Chile,2017.0,6.25192,2017,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",152.0,Chile,2018.0,8.1322,2018,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",152.0,Chile,2019.0,7.53821,2019,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",152.0,Chile,2020.0,9.02231,2020,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",152.0,Chile,2021.0,12.12368,2021,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",152.0,Chile,2022.0,8.73802,2022,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",152.0,Chile,2018.0,1.91369,2018,,,,,World Environment Situation Room,,,Extreme,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",152.0,Chile,2018.0,5.93093,2018,,,,,World Environment Situation Room,,,Moderate,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",152.0,Chile,2018.0,5.69732,2018,,,,,World Environment Situation Room,,,High,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",152.0,Chile,2019.0,5.36316,2019,,,,,World Environment Situation Room,,,Moderate,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",152.0,Chile,2019.0,4.61767,2019,,,,,World Environment Situation Room,,,High,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",152.0,Chile,2019.0,1.45833,2019,,,,,World Environment Situation Room,,,Extreme,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",152.0,Chile,2020.0,1.52649,2020,,,,,World Environment Situation Room,,,Extreme,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",152.0,Chile,2020.0,5.77671,2020,,,,,World Environment Situation Room,,,Moderate,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",152.0,Chile,2020.0,5.50406,2020,,,,,World Environment Situation Room,,,High,,E,D,G,,PERCENT
