Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Freq],[IHR Capacity],[Location],[Name of non-communicable disease],[Nature],[Observation Status],[Reporting Type],[Sex],[Substance use disorders],[Type of occupation],[Units]
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),170.0,Colombia,1990.0,80.599999999999994,1990,,,,,"Profamilia, Macro International Inc. Colombia Encuesta de Prevalencia, Demografía y Salud 1990. Bogotá, Colombia: Profamilia; 1991 (in Spanish).
",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),170.0,Colombia,1995.0,83.6,1995,,,,,"Profamilia, Macro International Inc. Encuesta Nacional de Demografía y Salud 1995. Bogotá, Colombia: Profamilia, Macro International; 1995 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),170.0,Colombia,1998.0,91.3,1998,,,,,"DANE [online database]. Estadísticas Vitales - Nacimientos. 1998. Bogotá D.C.: Departamento Administrativo Nacional de Estadística (DANE); 2011 (http://www.dane.gov.co/daneweb_V09/index.php?option=com_content&view=article&id=786&Itemid=119, accessed 30 May 2011, in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),170.0,Colombia,1999.0,92.1,1999,,,,,"DANE [online database]. Estadísticas Vitales - Nacimientos. 1999. Bogotá D.C.: Departamento Administrativo Nacional de Estadística (DANE); 2011 (http://www.dane.gov.co/daneweb_V09/index.php?option=com_content&view=article&id=786&Itemid=119, accessed 30 May 2011, in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),170.0,Colombia,2000.0,86.1,2000,,,,,"Profamilia, Macro International Inc. Salud Sexual y Reproductiva en Colombia. Resultados Encuesta Nacional de Demografía y Salud 2000. Bogotá, Colombia: Profamilia; 2000 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),170.0,Colombia,2001.0,93.1,2001,,,,,"DANE [online database]. Estadísticas Vitales - Nacimientos. 2001. Bogotá D.C.: Departamento Administrativo Nacional de Estadística (DANE); 2011 (http://www.dane.gov.co/daneweb_V09/index.php?option=com_content&view=article&id=786&Itemid=119, accessed 30 May 2011, in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),170.0,Colombia,2002.0,94.5,2002,,,,,"DANE [online database]. Estadísticas Vitales - Nacimientos. 2002. Bogotá D.C.: Departamento Administrativo Nacional de Estadística (DANE); 2011 (http://www.dane.gov.co/daneweb_V09/index.php?option=com_content&view=article&id=786&Itemid=119, accessed 30 May 2011, in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),170.0,Colombia,2003.0,95,2003,,,,,"DANE [online database]. Estadísticas Vitales - Nacimientos. 2003. Bogotá D.C.: Departamento Administrativo Nacional de Estadística (DANE); 2011 (http://www.dane.gov.co/daneweb_V09/index.php?option=com_content&view=article&id=786&Itemid=119, accessed 30 May 2011, in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),170.0,Colombia,2004.0,95.6,2004,,,,,"DANE [online database]. Estadísticas Vitales - Nacimientos. 2004. Bogotá D.C.: Departamento Administrativo Nacional de Estadística (DANE); 2011 (http://www.dane.gov.co/daneweb_V09/index.php?option=com_content&view=article&id=786&Itemid=119, accessed 30 May 2011, in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),170.0,Colombia,2005.0,90.7,2004 - 2005,,,,,"Ojeda G (Profamilia), Ordonez M (Profamilia), Ochoa LH (Macro International Inc.). Colombia Salud Sexual y Reproductiva: Resultados Encuesta Nacional de Demografía y Salud 2005. Bogotá, Colombia: Profamilia; 2005 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
