Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Age],[Disability status],[Education level],[Freq],[Location],[Migratory status],[Nature],[Observation Status],[Quantile],[Reporting Type],[Sex],[Type of occupation],[Type of product],[Units]
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2000.0,1.27,2000,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2001.0,0.09,2001,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2002.0,0.94,2002,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2003.0,2.39,2003,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2004.0,3.84,2004,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2005.0,3.29,2005,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2006.0,5.34,2006,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2007.0,5.42,2007,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2008.0,2.08,2008,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2009.0,0.0,2009,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,Obs_Value = 0;  ,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2010.0,3.32,2010,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2011.0,5.78,2011,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2012.0,2.84,2012,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2013.0,4.1,2013,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2014.0,3.51,2014,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2015.0,1.99,2015,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2016.0,1.0,2016,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2017.0,-0.16,2017,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2018.0,0.64,2018,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2019.0,1.31,2019,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),170.0,Colombia,2020.0,-8.4,2020,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
