Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Bioclimatic belt],[Freq],[Land cover],[Level/Status],[Location],[Mountain Elevation],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),218.0,Ecuador,2000.0,24836.0,2000,,,,,FAO. FAOSTAT,,,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),218.0,Ecuador,2010.0,24836.0,2010,,,,,FAO. FAOSTAT,,,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),218.0,Ecuador,2015.0,24836.0,2015,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),218.0,Ecuador,2016.0,24836.0,2016,,,,,FAO. FAOSTAT,,,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),218.0,Ecuador,2017.0,24836.0,2017,,,,,FAO. FAOSTAT,,,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),218.0,Ecuador,2018.0,24836.0,2018,,,,,FAO. FAOSTAT,,,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),218.0,Ecuador,2019.0,24836.0,2019,,,,,FAO. FAOSTAT,,,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),218.0,Ecuador,2020.0,24836.0,2020,,,,,FAO. FAOSTAT,,,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),218.0,Ecuador,2000.0,13730.5,2000,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),218.0,Ecuador,2010.0,13028.19,2010,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),218.0,Ecuador,2015.0,12819.18,2015,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),218.0,Ecuador,2016.0,12754.91,2016,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),218.0,Ecuador,2017.0,12690.64,2017,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),218.0,Ecuador,2018.0,12626.37,2018,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),218.0,Ecuador,2019.0,12562.1,2019,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),218.0,Ecuador,2020.0,12497.83,2020,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),218.0,Ecuador,2000.0,55.28,2000,,,,,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,,Officially reported data,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),218.0,Ecuador,2010.0,52.46,2010,,,,,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,,Officially reported data,,,,,,,,C,A,G,,PERCENT
