Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Counterpart],[Disability status],[Fiscal intervention stage],[Freq],[Grounds of discrimination],[Location],[Migratory status],[Name of international institution],[Nature],[Observation Status],[Policy Domains],[Quantile],[Reporting Type],[Sex],[Type of product],[Units]
10.0,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),600.0,Paraguay,2021.0,1.74,2021,,,,,World Bank,,Estimated from income data. Growth rates are for the period of 2016-2021.,,,,,,,,,,G,,,B40,G,,,PERCENT
10.0,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),600.0,Paraguay,2021.0,-1.24,2021,,,,,World Bank,,Estimated from income data. Growth rates are for the period of 2016-2021.,,,,,,,,,,G,,,_T,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,1990.0,15.3,1990,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,1995.0,26.2,1995,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,1997.0,27.7,1997,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EIH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,1999.0,23.6,1999,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2001.0,24.4,2001,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EIH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2002.0,23.8,2002,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2003.0,21.7,2003,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2004.0,19.5,2004,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2005.0,19.8,2005,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2006.0,21.7,2006,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2007.0,20.7,2007,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2008.0,20.2,2008,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2009.0,22.0,2009,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2010.0,21.5,2010,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2011.0,22.7,2011,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2012.0,21.1,2012,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2013.0,19.9,2013,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2014.0,19.8,2014,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2015.0,20.2,2015,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2016.0,19.1,2016,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2017.0,18.0,2017,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2018.0,18.3,2018,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2019.0,18.6,2019,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2020.0,18.6,2020,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),600.0,Paraguay,2021.0,17.0,2021,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.4,10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),600.0,Paraguay,2004.0,53.0,2004,,,,,"ILO modelled estimates, Nov. 2022",,,,,,,,,,,,M,A,,,G,,,PERCENT
10.0,10.4,10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),600.0,Paraguay,2005.0,49.8,2005,,,,,"ILO modelled estimates, Nov. 2022",,,,,,,,,,,,M,A,,,G,,,PERCENT
