Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Cities],[Custom Breakdown],[Freq],[Hazard type],[Level_of_government],[Location],[Nature],[Reporting Type],[Sex],[Type of facilities],[Units]
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),600.0,Paraguay,2000.0,42.02714,2000,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),600.0,Paraguay,2002.0,39.03,2002,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),600.0,Paraguay,2004.0,36.03286,2004,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),600.0,Paraguay,2006.0,33.03571,2006,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),600.0,Paraguay,2008.0,30.03857,2008,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),600.0,Paraguay,2010.0,27.04143,2010,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),600.0,Paraguay,2012.0,24.04429,2012,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),600.0,Paraguay,2014.0,21.04714,2014,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),600.0,Paraguay,2016.0,18.05,2016,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),600.0,Paraguay,2018.0,15.05286,2018,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),600.0,Paraguay,2020.0,15.1,2020,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.2,11.2.1,SP_TRN_PUBL,Proportion of population that has convenient access to public transport (%),600.0,Paraguay,2020.0,18.8,2020,,,,,UN-Habitat Urban Indicators Database,,"Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,PY_ASUNCION,,,,,,E,G,,,PERCENT
11.0,11.2,11.2.1,SP_TRN_PUBL,Proportion of population that has convenient access to public transport (%),600.0,Paraguay,2020.0,5.0,2020,,,,,UN-Habitat Urban Indicators Database,,"Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,PY_CIUDAD_DEL_ESTE,,,,,,E,G,,,PERCENT
11.0,11.3,11.3.1,EN_LND_CNSPOP,Ratio of land consumption rate to population growth rate,600.0,Paraguay,2010.0,1.1945,2000 - 2010,,,,,UN-Habitat Urban Indicators Database,,"City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,PY_CIUDAD_DEL_ESTE,,,,,,E,G,,,Ratio
11.0,11.3,11.3.1,EN_LND_CNSPOP,Ratio of land consumption rate to population growth rate,600.0,Paraguay,2020.0,0.5243,2010 - 2020,,,,,UN-Habitat Urban Indicators Database,,"City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,PY_CIUDAD_DEL_ESTE,,,,,,E,G,,,Ratio
11.0,11.5,11.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),600.0,Paraguay,2005.0,71020969.85,2005,,,,,United Nations Office for Disaster Risk Reduction (2023),,Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,,,,,C,G,,,CU_USD
11.0,11.5,11.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),600.0,Paraguay,2006.0,604923280.0,2006,,,,,United Nations Office for Disaster Risk Reduction (2023),,Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,,,,,C,G,,,CU_USD
11.0,11.5,11.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),600.0,Paraguay,2007.0,206728510.52,2007,,,,,United Nations Office for Disaster Risk Reduction (2023),,Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,,,,,C,G,,,CU_USD
11.0,11.5,11.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),600.0,Paraguay,2008.0,254195949.51,2008,,,,,United Nations Office for Disaster Risk Reduction (2023),,Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,,,,,C,G,,,CU_USD
11.0,11.5,11.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),600.0,Paraguay,2009.0,831171776.09,2009,,,,,United Nations Office for Disaster Risk Reduction (2023),,Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,,,,,C,G,,,CU_USD
11.0,11.5,11.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),600.0,Paraguay,2010.0,312723051.03,2010,,,,,United Nations Office for Disaster Risk Reduction (2023),,Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,,,,,C,G,,,CU_USD
11.0,11.5,11.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),600.0,Paraguay,2011.0,158328795.27,2011,,,,,United Nations Office for Disaster Risk Reduction (2023),,Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,,,,,C,G,,,CU_USD
11.0,11.5,11.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),600.0,Paraguay,2012.0,5049768681.59,2012,,,,,United Nations Office for Disaster Risk Reduction (2023),,Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,,,,,C,G,,,CU_USD
11.0,11.5,11.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),600.0,Paraguay,2013.0,244012945.93,2013,,,,,United Nations Office for Disaster Risk Reduction (2023),,Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,,,,,C,G,,,CU_USD
