Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Freq],[IHR Capacity],[Location],[Name of non-communicable disease],[Nature],[Observation Status],[Reporting Type],[Sex],[Substance use disorders],[Type of occupation],[Units]
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,1990.0,66,1990,,,,,"Centro Paraguayo de Estudios de Población, Macro Systems Inc. Encuesta Nacional de Demografía y Salud 1990. Columbia, Maryland, USA: Macro Systems Inc.; 1991 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,1996.0,60.8,1995 - 1996,,,,,"Encuesta Nacional de Demografía y Salud Reproductiva 1995-1996 (ENDSR-95/96). Asunción: Centro Paraguay de Estudios de Población (CEPEP), Centros para el Control y Prevención de Enfermedades (CDC), Agencia del Gobierno de los Estados Unidos para el Desarrollo Internacional (USAID); 1997 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,1998.0,60.8,1998,,,,,"Encuesta Nacional de Salud Materno Infantil: 1998 (ENSMI-98). Informe Final. Asunción: Centro Paraguay de Estudios de Población (CEPEP), Centros para el Control y Prevención de Enfermedades (CDC), Agencia del Gobierno de los Estados Unidos para el Desarrollo Internacional (USAID); 1999 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,1999.0,85.6,1999,,,,,"Health Situation in the Americas: Basic Indicators 2002. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Special Program for Health Analysis; 2002.",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,2000.0,85,2000,,,,,"PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 30 December 2021).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,2001.0,85.9,2001,,,,,"PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 30 December 2021).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,2002.0,85.8,2002,,,,,"Health Situation in the Americas: Basic Indicators 2004. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Area of Health Analysis and Information Systems (AIS); 2004.",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,2003.0,85.9,2003,,,,,"Health Situation in the Americas: Basic Indicators 2006. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Health Analysis and Statistics Unit (HA); 2006.",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,2004.0,77.2,2004,,,,,"Encuesta Nacional de Demografía y Salud Reproductiva (ENDSSR) 2004. Informe Final. Asunción: Centro Paraguayo de Estudios de Población (CEPEP), Agencia del Gobierno de los Estados Unidos para el Desarrollo Internacional (USAID), Centros para el Control y Prevención de Enfermedades (CDC), Fondo de Población de las Naciones Unidas (UNFPA), Federación Internacional de Planificación Familiar (IPPF); 2005 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,2005.0,87.5,2005,,,,,"Estadísticas Vitales del Paraguay 2005. Fernando de la Mora: Dirección General de Estadística, Encuestas y Censos (DGEEC) [Paraguay]; 2007 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,2006.0,90.5,2006,,,,,"Estadísticas Vitales del Paraguay 2006-2007. Fernando de la Mora: Dirección General de Estadística, Encuestas y Censos (DGEEC) [Paraguay]; 2009 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,2007.0,90.6,2007,,,,,"PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 30 December 2021).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,2008.0,87.2,2008,,,,,"Encuesta Nacional de Demografía y Salud Reproductiva (ENDSSR) 2008. Informe Final. Asunción: Centro Paraguayo de Estudios de Población (CEPEP), Agencia del Gobierno de los Estados Unidos para el Desarrollo Internacional (USAID), Centros para el Control y Prevención de Enfermedades (CDC), Fondo de las Naciones Unidas para la Infancia (UNICEF), Federación Internacional de Planificación Familiar (IPPF); 2009 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,2009.0,93.8,2009,,,,,"Estadísticas Vitales del Paraguay 2009. Fernando de la Mora: Dirección General de Estadística, Encuestas y Censos (DGEEC) [Paraguay]; 2012 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,2010.0,95.6,2010,,,,,"Estadísticas Vitales del Paraguay 2010. Fernando de la Mora: Dirección General de Estadística, Encuestas y Censos (DGEEC) [Paraguay]; 2013 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,2011.0,95.8,2011,,,,,Ministry of Health provided by the PAHO/WHO Country Office to the Health Information and Analysis Project (HA) - Regional Health Observatory Database. (Data provided by UNICEF April 2016).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,2012.0,95.7,2012,,,,,"Estadísticas Vitales del Paraguay 2012. Fernando de la Mora: Dirección General de Estadística, Encuestas y Censos (DGEEC) [Paraguay]; 2014 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,2013.0,96.8,2013,,,,,"PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 30 December 2021).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,2014.0,96.4,2014,,,,,"Estadísticas Vitales del Paraguay 2014. Fernando de la Mora: Dirección General de Estadística, Encuestas y Censos (DGEEC) [Paraguay]; 2016 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,2015.0,96.3,2015,,,,,"Anuario 2015 Paraguay. Fernando de la Mora: Dirección General de Estadística, Encuestas y Censos (DGEEC) [Paraguay]; 2017 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,2016.0,95.5,2016,,,,,"Encuesta de Indicadores Múltiples por Conglomerados - MICS Paraguay 2016. Fernando De La Mora: Dirección General De Estadística, Encuestas y Censos, Ministerio de Salud Pública y Bienestar Social, Ministerio de la Secretaria Técnica de Planificación del Desarrollo Económico y Social, Fondo de las Naciones Unidas para la Infancia (UNICEF), Banco Interamericano de Desarrollo (BID), ERSSAN; 2017 (in Spanish). 
",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,2017.0,97.3,2017,,,,,"Estadísticas Vitales del Paraguay 2017. Fernando de la Mora: Dirección General de Estadística, Encuestas y Censos (DGEEC) [Paraguay]; 2018 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,2018.0,97.7,2018,,,,,"Estadísticas Vitales del Paraguay 2018. Fernando de la Mora: Dirección General de Estadística, Encuestas y Censos (DGEEC) [Paraguay]; 2019 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),600.0,Paraguay,2019.0,92.2,2019,,,,,MSPBS/DIGIES/DES. Subsistema de Información de Estadísticas Vitales (SSIEV). 2015-2019,,2022 Country Consultation: changed data status from 999 to 1 (it did not go through the 2021 consultation).,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,600.0,Paraguay,2000.0,148.4536,2000,,193.5783,121.53834,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,600.0,Paraguay,2001.0,146.85103,2001,,189.20476,121.04737,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,600.0,Paraguay,2002.0,131.83346,2002,,169.67907,109.31459,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,600.0,Paraguay,2003.0,130.26355,2003,,166.62519,108.46687,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,600.0,Paraguay,2004.0,127.16996,2004,,161.84165,106.73253,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,600.0,Paraguay,2005.0,127.21106,2005,,160.21973,106.9877,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,600.0,Paraguay,2006.0,113.52437,2006,,142.44867,96.22262,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,600.0,Paraguay,2007.0,110.2701,2007,,136.81424,93.92341,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,600.0,Paraguay,2008.0,107.13059,2008,,131.97583,91.91894,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,600.0,Paraguay,2009.0,104.03303,2009,,126.39893,90.18658,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,600.0,Paraguay,2010.0,100.49421,2010,,119.96058,88.16615,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,600.0,Paraguay,2011.0,98.55136,2011,,115.15881,87.21042,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,600.0,Paraguay,2012.0,85.03678,2012,,96.78906,75.93258,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,600.0,Paraguay,2013.0,80.79869,2013,,90.65715,72.94112,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
