Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Freq],[IHR Capacity],[Location],[Name of non-communicable disease],[Nature],[Observation Status],[Reporting Type],[Sex],[Substance use disorders],[Type of occupation],[Units]
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),604.0,Peru,1992.0,52.5,1991 - 1992,,,,,"Instituto Nacional de Estadística e Informática (INEI) [Perú], Asociación Benéfica PRISMA, Macro International Inc. Perú Encuesta Demográfica y de Salud Familiar - ENDES 1991-1992. Lima, Perú: Instituto Nacional de Estadística e Informática (INEI) [Perú], Asociación Benéfica PRISMA, Macro International Inc.; 1992 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),604.0,Peru,1996.0,56.4,1996,,,,,"Instituto Nacional de Estadística e Informática (INEI) [Perú], ORC Macro. Perú Encuesta Demográfica y de Salud Familiar - ENDES 1996. Lima, Perú: Instituto Nacional de Estadística e Informática (INEI) [Perú], ORC Macro; 1997 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),604.0,Peru,2000.0,59.3,2000,,,,,"Instituto Nacional de Estadística e Informática (INEI) [Perú], Macro International. Perú Encuesta Demográfica y de Salud Familiar - ENDES 2000. Lima, Perú: Instituto Nacional de Estadística e Informática (INEI) [Perú], Macro International; 2001 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),604.0,Peru,2006.0,71,2004 - 2006,,,,,"Instituto Nacional de Estadística e Informática (INEI) [Perú], ORC Macro. Perú Encuesta Demográfica y de Salud Familiar - ENDES 2004-2006. Lima, Perú: Instituto Nacional de Estadística e Informática (INEI) [Perú], ORC Macro; 2007 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),604.0,Peru,2008.0,79.400000000000006,2007 - 2008,,,,,"Instituto Nacional de Estadística e Informática (INEI) [Perú], ORC Macro. Perú Encuesta Demográfica y de Salud Familiar - ENDES 2007-2008. Lima, Perú: Instituto Nacional de Estadística e Informática (INEI) [Perú], ORC Macro; 2009 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),604.0,Peru,2009.0,82.5,2009,,,,,"Instituto Nacional de Estadística e Informática (INEI) [Perú], ORC Macro. Perú Encuesta Demográfica y de Salud Familiar - ENDES 2009. Lima, Perú: Instituto Nacional de Estadística e Informática (INEI) [Perú], ORC Macro; 2010 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),604.0,Peru,2010.0,83.8,2010,,,,,"Instituto Nacional de Estadística e Informática (INEI) [Perú], ORC Macro. Perú Encuesta Demográfica y de Salud Familiar - ENDES 2010. Lima, Perú: Instituto Nacional de Estadística e Informática (INEI) [Perú], ORC Macro; 2011 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),604.0,Peru,2011.0,85,2011,,,,,"Instituto Nacional de Estadística e Informática (INEI) [Perú]. Perú Encuesta Demográfica y de Salud Familiar - ENDES 2011. Lima, Perú: Instituto Nacional de Estadística e Informática (INEI) [Perú]; 2012 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),604.0,Peru,2012.0,86.7,2012,,,,,"Instituto Nacional de Estadística e Informática (INEI) [Perú]. Perú Encuesta Demográfica y de Salud Familiar - ENDES 2012. Lima, Perú: Instituto Nacional de Estadística e Informática (INEI) [Perú]; 2013 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),604.0,Peru,2013.0,89.1,2013,,,,,"Instituto Nacional de Estadística e Informática (INEI) [Perú]. Perú Encuesta Demográfica y de Salud Familiar - ENDES 2013. Lima, Perú: Instituto Nacional de Estadística e Informática (INEI) [Perú]; 2014 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
