Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Age],[Freq],[Location],[Nature],[Observation Status],[Reporting Type],[Sex],[Tariff regime (status)],[Type of product],[Type of speed],[Units]
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),858.0,Uruguay,2000.0,22.7190327968064,2000.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),858.0,Uruguay,2001.0,22.8743524547731,2001.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),858.0,Uruguay,2002.0,22.8054339706196,2002.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),858.0,Uruguay,2003.0,22.8920571131514,2003.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),858.0,Uruguay,2004.0,23.5698410416012,2004.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),858.0,Uruguay,2005.0,24.2445601529309,2005.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),858.0,Uruguay,2006.0,25.1861885952423,2006.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),858.0,Uruguay,2007.0,24.4005843676229,2007.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),858.0,Uruguay,2008.0,24.4039829043196,2008.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),858.0,Uruguay,2009.0,26.904997983954,2009.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),858.0,Uruguay,2010.0,27.5328315098685,2010.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),858.0,Uruguay,2011.0,27.637188387086,2011.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),858.0,Uruguay,2012.0,27.5609981510984,2012.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),858.0,Uruguay,2013.0,28.6357285113269,2013.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),858.0,Uruguay,2014.0,28.398916206251,2014.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),858.0,Uruguay,2015.0,28.0294778050852,2015.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
