Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Location],[Nature],[Reporting Type],[Type of renewable technology],[Units]
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),858.0,Uruguay,2000.0,>95,2000.0,,>95,>95,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,URBAN,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),858.0,Uruguay,2000.0,>95,2000.0,,>95,>95,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,ALLAREA,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),858.0,Uruguay,2000.0,>95,2000.0,,>95,>95,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,RURAL,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),858.0,Uruguay,2001.0,>95,2001.0,,>95,>95,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,URBAN,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),858.0,Uruguay,2001.0,>95,2001.0,,>95,>95,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,RURAL,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),858.0,Uruguay,2001.0,>95,2001.0,,>95,>95,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,ALLAREA,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),858.0,Uruguay,2002.0,>95,2002.0,,>95,>95,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,URBAN,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),858.0,Uruguay,2002.0,>95,2002.0,,>95,>95,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,RURAL,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),858.0,Uruguay,2002.0,>95,2002.0,,>95,>95,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,ALLAREA,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),858.0,Uruguay,2003.0,>95,2003.0,,>95,>95,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,ALLAREA,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),858.0,Uruguay,2003.0,>95,2003.0,,>95,>95,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,URBAN,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),858.0,Uruguay,2003.0,>95,2003.0,,>95,>95,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,RURAL,E,G,,PERCENT
