Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Counterpart],[Disability status],[Fiscal intervention stage],[Freq],[Grounds of discrimination],[Location],[Migratory status],[Name of international institution],[Nature],[Observation Status],[Policy Domains],[Quantile],[Reporting Type],[Sex],[Type of product],[Units]
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),862.0,Venezuela (Bolivarian Republic of),1981.0,25.2,1981,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EHM. Estimated from grouped income data. PPP is extrapolated from 2011.,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),862.0,Venezuela (Bolivarian Republic of),1987.0,24.9,1987,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EHM. Estimated from grouped income data. PPP is extrapolated from 2011.,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),862.0,Venezuela (Bolivarian Republic of),1989.0,19.7,1989,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EHM. Estimated from unit-record income data. PPP is extrapolated from 2011.,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),862.0,Venezuela (Bolivarian Republic of),1992.0,18.3,1992,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EHM. Estimated from unit-record income data. PPP is extrapolated from 2011.,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),862.0,Venezuela (Bolivarian Republic of),1995.0,20.6,1995,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EHM. Estimated from unit-record income data. PPP is extrapolated from 2011.,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),862.0,Venezuela (Bolivarian Republic of),1998.0,22.2,1998,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EHM. Estimated from unit-record income data. PPP is extrapolated from 2011.,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),862.0,Venezuela (Bolivarian Republic of),1999.0,21.6,1999,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EHM. Estimated from unit-record income data. PPP is extrapolated from 2011.,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),862.0,Venezuela (Bolivarian Republic of),2001.0,20.8,2001,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EHM. Estimated from unit-record income data. PPP is extrapolated from 2011.,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),862.0,Venezuela (Bolivarian Republic of),2002.0,22.1,2002,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EHM. Estimated from unit-record income data. PPP is extrapolated from 2011.,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),862.0,Venezuela (Bolivarian Republic of),2003.0,22.4,2003,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EHM. Estimated from unit-record income data. PPP is extrapolated from 2011.,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),862.0,Venezuela (Bolivarian Republic of),2004.0,22.3,2004,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EHM. Estimated from unit-record income data. PPP is extrapolated from 2011.,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),862.0,Venezuela (Bolivarian Republic of),2005.0,23.1,2005,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EHM. Estimated from unit-record income data. PPP is extrapolated from 2011.,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),862.0,Venezuela (Bolivarian Republic of),2006.0,19.9,2006,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EHM. Estimated from unit-record income data. PPP is extrapolated from 2011.,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.4,10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),862.0,Venezuela (Bolivarian Republic of),2004.0,39.5,2004,,,,,"ILO modelled estimates, Nov. 2022",,,,,,,,,,,,M,A,,,G,,,PERCENT
10.0,10.4,10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),862.0,Venezuela (Bolivarian Republic of),2005.0,38.1,2005,,,,,"ILO modelled estimates, Nov. 2022",,,,,,,,,,,,M,A,,,G,,,PERCENT
10.0,10.4,10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),862.0,Venezuela (Bolivarian Republic of),2006.0,40.3,2006,,,,,"ILO modelled estimates, Nov. 2022",,,,,,,,,,,,M,A,,,G,,,PERCENT
10.0,10.4,10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),862.0,Venezuela (Bolivarian Republic of),2007.0,41.9,2007,,,,,"ILO modelled estimates, Nov. 2022",,,,,,,,,,,,M,A,,,G,,,PERCENT
10.0,10.4,10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),862.0,Venezuela (Bolivarian Republic of),2008.0,39.5,2008,,,,,"ILO modelled estimates, Nov. 2022",,,,,,,,,,,,M,A,,,G,,,PERCENT
10.0,10.4,10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),862.0,Venezuela (Bolivarian Republic of),2009.0,46.0,2009,,,,,"ILO modelled estimates, Nov. 2022",,,,,,,,,,,,M,A,,,G,,,PERCENT
10.0,10.4,10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),862.0,Venezuela (Bolivarian Republic of),2010.0,39.8,2010,,,,,"ILO modelled estimates, Nov. 2022",,,,,,,,,,,,M,A,,,G,,,PERCENT
10.0,10.4,10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),862.0,Venezuela (Bolivarian Republic of),2011.0,39.7,2011,,,,,"ILO modelled estimates, Nov. 2022",,,,,,,,,,,,M,A,,,G,,,PERCENT
10.0,10.4,10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),862.0,Venezuela (Bolivarian Republic of),2012.0,42.6,2012,,,,,"ILO modelled estimates, Nov. 2022",,,,,,,,,,,,M,A,,,G,,,PERCENT
10.0,10.4,10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),862.0,Venezuela (Bolivarian Republic of),2013.0,42.4,2013,,,,,"ILO modelled estimates, Nov. 2022",,,,,,,,,,,,M,A,,,G,,,PERCENT
10.0,10.4,10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),862.0,Venezuela (Bolivarian Republic of),2014.0,48.2,2014,,,,,"ILO modelled estimates, Nov. 2022",,,,,,,,,,,,M,A,,,G,,,PERCENT
10.0,10.4,10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),862.0,Venezuela (Bolivarian Republic of),2015.0,31.2,2015,,,,,"ILO modelled estimates, Nov. 2022",,,,,,,,,,,,M,A,,,G,,,PERCENT
10.0,10.4,10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),862.0,Venezuela (Bolivarian Republic of),2016.0,30.5,2016,,,,,"ILO modelled estimates, Nov. 2022",,,,,,,,,,,,M,A,,,G,,,PERCENT
10.0,10.4,10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),862.0,Venezuela (Bolivarian Republic of),2017.0,25.3,2017,,,,,"ILO modelled estimates, Nov. 2022",,,,,,,,,,,,M,A,,,G,,,PERCENT
10.0,10.4,10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),862.0,Venezuela (Bolivarian Republic of),2018.0,17.6,2018,,,,,"ILO modelled estimates, Nov. 2022",,,,,,,,,,,,M,A,,,G,,,PERCENT
10.0,10.4,10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),862.0,Venezuela (Bolivarian Republic of),2019.0,10.1,2019,,,,,"ILO modelled estimates, Nov. 2022",,,,,,,,,,,,M,A,,,G,,,PERCENT
10.0,10.4,10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),862.0,Venezuela (Bolivarian Republic of),2020.0,10.2,2020,,,,,"ILO modelled estimates, Nov. 2022",,,,,,,,,,,,M,A,,,G,,,PERCENT
10.0,10.4,10.4.2,SI_DST_FISP,"Redistributive impact of fiscal policy, Gini index (%)",862.0,Venezuela (Bolivarian Republic of),2013.0,36.67763,2013,,,,,World Bank (Collection agencies specified in footnote),,"Source: CEQ Institute. Based on data from: Encuesta Nacional de Hogares por Muestreo (ENHM), Sistema de Indicadores de Coyuntura (SIC). Tercer trimestre 2013; contributory pensions are treated as deferred income; main welfare variable: income; per capita; it includes imputed rent for owner-occupied housing; it excludes consumption from own-production.",,,,POSTFIS_CON_INC,,,,,,E,,,,G,,,PERCENT
10.0,10.4,10.4.2,SI_DST_FISP,"Redistributive impact of fiscal policy, Gini index (%)",862.0,Venezuela (Bolivarian Republic of),2013.0,38.69985,2013,,,,,World Bank (Collection agencies specified in footnote),,"Source: CEQ Institute. Based on data from: Encuesta Nacional de Hogares por Muestreo (ENHM), Sistema de Indicadores de Coyuntura (SIC). Tercer trimestre 2013; contributory pensions are treated as deferred income; main welfare variable: income; per capita; it includes imputed rent for owner-occupied housing; it excludes consumption from own-production.",,,,POSTFIS_DIS_INC,,,,,,E,,,,G,,,PERCENT
10.0,10.4,10.4.2,SI_DST_FISP,"Redistributive impact of fiscal policy, Gini index (%)",862.0,Venezuela (Bolivarian Republic of),2013.0,39.98994,2013,,,,,World Bank (Collection agencies specified in footnote),,"Source: CEQ Institute. Based on data from: Encuesta Nacional de Hogares por Muestreo (ENHM), Sistema de Indicadores de Coyuntura (SIC). Tercer trimestre 2013; contributory pensions are treated as deferred income; main welfare variable: income; per capita; it includes imputed rent for owner-occupied housing; it excludes consumption from own-production.",,,,PREFIS_INC,,,,,,E,,,,G,,,PERCENT
10.0,10.6,10.6.1,SG_INT_MBRDEV,"Proportion of members of developing countries in international organizations, by organization (%)",862.0,Venezuela (Bolivarian Republic of),2000.0,0.57471,2000,,,,,IFC 2000 Annual Report Volume 2,,,,,,,,,,,IFC,G,,,,G,,,PERCENT
10.0,10.6,10.6.1,SG_INT_MBRDEV,"Proportion of members of developing countries in international organizations, by organization (%)",862.0,Venezuela (Bolivarian Republic of),2000.0,0.5291,2000,,,,,UN General Assembly website http://www.un.org/en/member-states/index.html,,,,,,,,,,,UNGA,G,,,,G,,,PERCENT
10.0,10.6,10.6.1,SG_INT_MBRDEV,"Proportion of members of developing countries in international organizations, by organization (%)",862.0,Venezuela (Bolivarian Republic of),2000.0,0.5618,2000,,,,,IMF Annual Report 2000,,,,,,,,,,,IMF,G,,,,G,,,PERCENT
10.0,10.6,10.6.1,SG_INT_MBRDEV,"Proportion of members of developing countries in international organizations, by organization (%)",862.0,Venezuela (Bolivarian Republic of),2000.0,1.85185,2000,,,,,Report of the Economic and Social Council for 2000 (A/55/3/Rev.1),,,,,,,,,,,ECOSOC,G,,,,G,,,PERCENT
10.0,10.6,10.6.1,SG_INT_MBRDEV,"Proportion of members of developing countries in international organizations, by organization (%)",862.0,Venezuela (Bolivarian Republic of),2000.0,0.71429,2000,,,,,WTO Annual Report 2015,,,,,,,,,,,WTO,G,,,,G,,,PERCENT
10.0,10.6,10.6.1,SG_INT_MBRDEV,"Proportion of members of developing countries in international organizations, by organization (%)",862.0,Venezuela (Bolivarian Republic of),2000.0,2.17391,2000,,,,,Inter-American Development Bank Annual Report 2000,,,,,,,,,,,IADB,G,,,,G,,,PERCENT
10.0,10.6,10.6.1,SG_INT_MBRDEV,"Proportion of members of developing countries in international organizations, by organization (%)",862.0,Venezuela (Bolivarian Republic of),2000.0,0.54945,2000,,,,,The World Bank Annual Report 2000: Financial Statement and Appendixes to the Annual Report,,,,,,,,,,,IBRD,G,,,,G,,,PERCENT
10.0,10.6,10.6.1,SG_INT_MBRDEV,"Proportion of members of developing countries in international organizations, by organization (%)",862.0,Venezuela (Bolivarian Republic of),2005.0,0.52356,2005,,,,,UN General Assembly website http://www.un.org/en/member-states/index.html,,,,,,,,,,,UNGA,G,,,,G,,,PERCENT
10.0,10.6,10.6.1,SG_INT_MBRDEV,"Proportion of members of developing countries in international organizations, by organization (%)",862.0,Venezuela (Bolivarian Republic of),2005.0,0.67114,2005,,,,,WTO Annual Report 2015,,,,,,,,,,,WTO,G,,,,G,,,PERCENT
10.0,10.6,10.6.1,SG_INT_MBRDEV,"Proportion of members of developing countries in international organizations, by organization (%)",862.0,Venezuela (Bolivarian Republic of),2005.0,0.55249,2005,,,,,IMF Annual Report 2005,,,,,,,,,,,IMF,G,,,,G,,,PERCENT
