Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Frequency of Chlorophyll-a concentration],[Level/Status],[Nature],[Observation Status],[Reporting Type],[Sampling Stations],[Units]
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2005.0,2.91588,2005,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2006.0,4.77057,2006,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2007.0,2.76534,2007,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2008.0,2.53945,2008,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2009.0,9.14816,2009,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2010.0,6.4989,2010,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2011.0,2.18582,2011,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2012.0,2.97371,2012,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2013.0,1.75612,2013,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2014.0,4.11957,2014,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2015.0,3.66157,2015,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2016.0,1.75947,2016,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2017.0,3.54269,2017,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2018.0,5.57393,2018,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2019.0,1.77658,2019,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2020.0,1.19018,2020,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2021.0,10.05847,2021,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2022.0,4.74926,2022,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2018.0,8.62397,2018,,,,,World Environment Situation Room,,,High,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2018.0,0.4141,2018,,,,,World Environment Situation Room,,,Extreme,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2018.0,6.70393,2018,,,,,World Environment Situation Room,,,Moderate,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2019.0,3.99055,2019,,,,,World Environment Situation Room,,,High,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2019.0,3.60337,2019,,,,,World Environment Situation Room,,,Extreme,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2019.0,4.3337,2019,,,,,World Environment Situation Room,,,Moderate,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",862.0,Venezuela (Bolivarian Republic of),2020.0,3.43427,2020,,,,,World Environment Situation Room,,,Moderate,,E,D,G,,PERCENT
