Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Location],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
5.0,5.2,5.2.1,VC_VAW_MARR,"Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)",862.0,Venezuela (Bolivarian Republic of),2018.0,8.5,2000-2018,,15.8,4.4,,"All Surveys and studies that are population-based, representative at the national or sub-national level, conducted between 2000 and 2018 and measured IPV using act-specific questions.",,,15-49,,E,,G,FEMALE,PERCENT
5.0,5.2,5.2.1,VC_VAW_MARR,"Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)",862.0,Venezuela (Bolivarian Republic of),2018.0,7.3,2000-2018,,13.9,3.7,,"All Surveys and studies that are population-based, representative at the national or sub-national level, conducted between 2000 and 2018 and measured IPV using act-specific questions.",,,15+,,E,,G,FEMALE,PERCENT
5.0,5.5,5.5.2,IC_GEN_MGTL,Proportion of women in managerial positions - 13th ICLS (%),862.0,Venezuela (Bolivarian Republic of),2005.0,30.7,2005,,,,,LFS - Household Sample Survey,,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,,,C,A,G,FEMALE,PERCENT
5.0,5.5,5.5.2,IC_GEN_MGTL,Proportion of women in managerial positions - 13th ICLS (%),862.0,Venezuela (Bolivarian Republic of),2006.0,30.6,2006,,,,,LFS - Household Sample Survey,,Repository: ILO-STATISTICS - Micro data processing,,,C,A,G,FEMALE,PERCENT
5.0,5.5,5.5.2,IC_GEN_MGTL,Proportion of women in managerial positions - 13th ICLS (%),862.0,Venezuela (Bolivarian Republic of),2007.0,30.0,2007,,,,,LFS - Household Sample Survey,,Repository: ILO-STATISTICS - Micro data processing,,,C,A,G,FEMALE,PERCENT
5.0,5.5,5.5.2,IC_GEN_MGTL,Proportion of women in managerial positions - 13th ICLS (%),862.0,Venezuela (Bolivarian Republic of),2008.0,30.7,2008,,,,,LFS - Household Sample Survey,,Repository: ILO-STATISTICS - Micro data processing,,,C,A,G,FEMALE,PERCENT
5.0,5.5,5.5.2,IC_GEN_MGTL,Proportion of women in managerial positions - 13th ICLS (%),862.0,Venezuela (Bolivarian Republic of),2009.0,30.3,2009,,,,,LFS - Household Sample Survey,,Repository: ILO-STATISTICS - Micro data processing,,,C,A,G,FEMALE,PERCENT
5.0,5.5,5.5.2,IC_GEN_MGTL,Proportion of women in managerial positions - 13th ICLS (%),862.0,Venezuela (Bolivarian Republic of),2010.0,31.6,2010,,,,,LFS - Household Sample Survey,,Repository: ILO-STATISTICS - Micro data processing,,,C,A,G,FEMALE,PERCENT
5.0,5.5,5.5.2,IC_GEN_MGTL,Proportion of women in managerial positions - 13th ICLS (%),862.0,Venezuela (Bolivarian Republic of),2011.0,32.7,2011,,,,,LFS - Household Sample Survey,,Repository: ILO-STATISTICS - Micro data processing,,,C,A,G,FEMALE,PERCENT
5.0,5.5,5.5.2,IC_GEN_MGTL,Proportion of women in managerial positions - 13th ICLS (%),862.0,Venezuela (Bolivarian Republic of),2012.0,33.6,2012,,,,,LFS - Household Sample Survey,,Repository: ILO-STATISTICS - Micro data processing,,,C,A,G,FEMALE,PERCENT
5.0,5.5,5.5.2,IC_GEN_MGTL,Proportion of women in managerial positions - 13th ICLS (%),862.0,Venezuela (Bolivarian Republic of),2016.0,31.9,2016,,,,,LFS - Household Sample Survey,,Repository: ILO-STATISTICS - Micro data processing,,,C,A,G,FEMALE,PERCENT
5.0,5.5,5.5.2,IC_GEN_MGTL,Proportion of women in managerial positions - 13th ICLS (%),862.0,Venezuela (Bolivarian Republic of),2017.0,32.8,2017,,,,,LFS - Household Sample Survey,,Repository: ILO-STATISTICS - Micro data processing,,,C,A,G,FEMALE,PERCENT
5.0,5.5,5.5.1,SG_GEN_PARLN,Number of seats held by women in national parliaments (number),862.0,Venezuela (Bolivarian Republic of),2000.0,25.0,2000,,,,,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",,Annual data as of 1 Feb of given year.,,,C,,G,FEMALE,NUMBER
5.0,5.5,5.5.1,SG_GEN_PARLN,Number of seats held by women in national parliaments (number),862.0,Venezuela (Bolivarian Republic of),2001.0,16.0,2001,,,,,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",,Annual data as of 1 Feb of given year.,,,C,,G,FEMALE,NUMBER
5.0,5.5,5.5.1,SG_GEN_PARLN,Number of seats held by women in national parliaments (number),862.0,Venezuela (Bolivarian Republic of),2002.0,16.0,2002,,,,,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",,Annual data as of 1 Feb of given year.,,,C,,G,FEMALE,NUMBER
5.0,5.5,5.5.1,SG_GEN_PARLN,Number of seats held by women in national parliaments (number),862.0,Venezuela (Bolivarian Republic of),2003.0,16.0,2003,,,,,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",,Annual data as of 1 Feb of given year.,,,C,,G,FEMALE,NUMBER
5.0,5.5,5.5.1,SG_GEN_PARLN,Number of seats held by women in national parliaments (number),862.0,Venezuela (Bolivarian Republic of),2004.0,16.0,2004,,,,,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",,Annual data as of 1 Feb of given year.,,,C,,G,FEMALE,NUMBER
5.0,5.5,5.5.1,SG_GEN_PARLN,Number of seats held by women in national parliaments (number),862.0,Venezuela (Bolivarian Republic of),2005.0,16.0,2005,,,,,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",,Annual data as of 1 Feb of given year.,,,C,,G,FEMALE,NUMBER
5.0,5.5,5.5.1,SG_GEN_PARLN,Number of seats held by women in national parliaments (number),862.0,Venezuela (Bolivarian Republic of),2006.0,29.0,2006,,,,,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",,Annual data as of 1 Feb of given year.,,,C,,G,FEMALE,NUMBER
5.0,5.5,5.5.1,SG_GEN_PARLN,Number of seats held by women in national parliaments (number),862.0,Venezuela (Bolivarian Republic of),2007.0,30.0,2007,,,,,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",,Annual data as of 1 Feb of given year.,,,C,,G,FEMALE,NUMBER
