Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Age],[Disability status],[Education level],[Freq],[Location],[Migratory status],[Nature],[Observation Status],[Quantile],[Reporting Type],[Sex],[Type of occupation],[Type of product],[Units]
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),862.0,Venezuela (Bolivarian Republic of),2000.0,1.73,2000,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),862.0,Venezuela (Bolivarian Republic of),2001.0,1.51,2001,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),862.0,Venezuela (Bolivarian Republic of),2002.0,-10.48,2002,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),862.0,Venezuela (Bolivarian Republic of),2003.0,-9.37,2003,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),862.0,Venezuela (Bolivarian Republic of),2004.0,16.28,2004,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),862.0,Venezuela (Bolivarian Republic of),2005.0,8.49,2005,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),862.0,Venezuela (Bolivarian Republic of),2006.0,8.12,2006,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),862.0,Venezuela (Bolivarian Republic of),2007.0,7.08,2007,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),862.0,Venezuela (Bolivarian Republic of),2008.0,3.74,2008,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),862.0,Venezuela (Bolivarian Republic of),2009.0,-4.55,2009,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),862.0,Venezuela (Bolivarian Republic of),2010.0,-2.82,2010,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
