Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Location],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
5.0,5.1,5.1.1,SG_LGL_GENEQLFP,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 1: overarching legal frameworks and public life",32.0,Argentina,2020.0,80.0,2020,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQLFP,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 1: overarching legal frameworks and public life",32.0,Argentina,2022.0,80.0,2022,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQVAW,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) --  Area 2: violence against women",32.0,Argentina,2020.0,100.0,2020,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQVAW,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) --  Area 2: violence against women",32.0,Argentina,2022.0,100.0,2022,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQEMP,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 3: employment and economic benefits",32.0,Argentina,2020.0,60.0,2020,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQEMP,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 3: employment and economic benefits",32.0,Argentina,2022.0,60.0,2022,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQMAR,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family",32.0,Argentina,2020.0,90.91,2020,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQMAR,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family",32.0,Argentina,2022.0,90.91,2022,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.2,5.2.1,VC_VAW_MARR,"Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)",32.0,Argentina,2018.0,4.5,2000-2018,,8.3,2.4,,"All Surveys and studies that are population-based, representative at the national or sub-national level, conducted between 2000 and 2018 and measured IPV using act-specific questions.",,,15-49,,E,,G,FEMALE,PERCENT
5.0,5.2,5.2.1,VC_VAW_MARR,"Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)",32.0,Argentina,2018.0,3.7,2000-2018,,6.5,2.0,,"All Surveys and studies that are population-based, representative at the national or sub-national level, conducted between 2000 and 2018 and measured IPV using act-specific questions.",,,15+,,E,,G,FEMALE,PERCENT
