Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Age],[Freq],[Location],[Mode of transportation],[Nature],[Observation Status],[Reporting Type],[Sex],[Type of mobile technology],[Units]
9.0,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",32.0,Argentina,2017.0,305102000.0,2017.0,,,,,ICAO,,,,,,,AIR,C,,G,,,T_KM
9.0,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",32.0,Argentina,2018.0,311720805.0,2018.0,,,,,ICAO,,,,,,,AIR,C,,G,,,T_KM
9.0,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",32.0,Argentina,2019.0,280283172.0,2019.0,,,,,ICAO,,,,,,,AIR,C,,G,,,T_KM
9.0,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",32.0,Argentina,2020.0,81124230.0,2020.0,,,,,ICAO,,,,,,,AIR,C,,G,,,T_KM
9.0,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",32.0,Argentina,2021.0,88267613.0,2021.0,,,,,ICAO,,,,,,,AIR,C,,G,,,T_KM
9.0,9.1,9.1.2,IS_RDP_PFVOL,"Passenger volume (passenger kilometres), by mode of transport",32.0,Argentina,2017.0,29965954320.0,2017.0,,,,,ICAO,,,,,,,AIR,C,,G,,,P_KM
9.0,9.1,9.1.2,IS_RDP_PFVOL,"Passenger volume (passenger kilometres), by mode of transport",32.0,Argentina,2018.0,29924855613.0,2018.0,,,,,ICAO,,,,,,,AIR,C,,G,,,P_KM
9.0,9.1,9.1.2,IS_RDP_PFVOL,"Passenger volume (passenger kilometres), by mode of transport",32.0,Argentina,2019.0,32070632434.0,2019.0,,,,,ICAO,,,,,,,AIR,C,,G,,,P_KM
9.0,9.1,9.1.2,IS_RDP_PFVOL,"Passenger volume (passenger kilometres), by mode of transport",32.0,Argentina,2020.0,6848173710.0,2020.0,,,,,ICAO,,,,,,,AIR,C,,G,,,P_KM
9.0,9.1,9.1.2,IS_RDP_PFVOL,"Passenger volume (passenger kilometres), by mode of transport",32.0,Argentina,2021.0,9806160510.0,2021.0,,,,,ICAO,,,,,,,AIR,C,,G,,,P_KM
9.0,9.1,9.1.2,IS_RDP_PORFVOL,"Container port traffic, maritime transport (twenty-foot equivalent units - TEUs)",32.0,Argentina,2010.0,1992900.0,2010.0,,,,,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",,,,,,,SEA,E,,G,,,TEU
9.0,9.1,9.1.2,IS_RDP_PORFVOL,"Container port traffic, maritime transport (twenty-foot equivalent units - TEUs)",32.0,Argentina,2011.0,2168077.0,2011.0,,,,,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",,,,,,,SEA,E,,G,,,TEU
9.0,9.1,9.1.2,IS_RDP_PORFVOL,"Container port traffic, maritime transport (twenty-foot equivalent units - TEUs)",32.0,Argentina,2012.0,1945310.0,2012.0,,,,,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",,,,,,,SEA,E,,G,,,TEU
