Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Counterpart],[Disability status],[Fiscal intervention stage],[Freq],[Grounds of discrimination],[Location],[Migratory status],[Name of international institution],[Nature],[Observation Status],[Policy Domains],[Quantile],[Reporting Type],[Sex],[Type of product],[Units]
10.0,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),68.0,Bolivia (Plurinational State of),2021.0,0.69,2021,,,,,World Bank,,Estimated from income data. Growth rates are for the period of 2016-2021.,,,,,,,,,,G,,,_T,G,,,PERCENT
10.0,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),68.0,Bolivia (Plurinational State of),2021.0,4.42,2021,,,,,World Bank,,Estimated from income data. Growth rates are for the period of 2016-2021.,,,,,,,,,,G,,,B40,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),1997.0,26.4,1997,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ENE. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),1999.0,30.3,1999,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ECH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),2000.0,29.6,2000,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ECH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),2001.0,27.0,2001,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),2002.0,28.0,2002,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),2004.0,21.9,2004,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ECH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),2005.0,26.2,2005,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),2006.0,25.5,2006,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),2007.0,24.3,2007,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),2008.0,22.9,2008,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),2009.0,23.2,2009,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),2011.0,21.8,2011,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),2012.0,22.9,2012,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),2013.0,22.7,2013,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),2014.0,21.6,2014,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),2015.0,21.3,2015,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),2016.0,22.2,2016,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),2017.0,21.8,2017,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),2018.0,20.1,2018,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),2019.0,17.8,2019,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),2020.0,17.9,2020,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),68.0,Bolivia (Plurinational State of),2021.0,17.4,2021,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.3,10.3.1,VC_VOV_GDSD,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68.0,Bolivia (Plurinational State of),2018.0,1.7,2018-2019,,,,,National Statistical Office - Encuesta de Hogares,,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 11195 households. Discrimination grounds (12): sex, sexual orientation and gender identity, age, skin colour, belonging to a nation or a peasant-indigenous group, language, clothing, origin, disability, religion or belief, economic condition, other reason.",,,_T,,,OTHER,ALLAREA,,,C,A,,,G,MALE,,PERCENT
10.0,10.3,10.3.1,VC_VOV_GDSD,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68.0,Bolivia (Plurinational State of),2018.0,0.6,2018-2019,,,,,National Statistical Office - Encuesta de Hogares,,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 11195 households. Discrimination grounds (12): sex, sexual orientation and gender identity, age, skin colour, belonging to a nation or a peasant-indigenous group, language, clothing, origin, disability, religion or belief, economic condition, other reason.",,,_T,,,SEXOGENID,URBAN,,,C,A,,,G,BOTHSEX,,PERCENT
