Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Cause of death],[Disability status],[Education level],[Freq],[Grounds of discrimination],[Illicit Financial Flows],[Location],[Name of international institution],[Nature],[Observation Status],[Parliamentary committees],[Population Group],[Quantile],[Reporting Type],[Service Attribute],[Sex],[Type of occupation],[Units]
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",68.0,Bolivia (Plurinational State of),2008.0,13.87,2008,,,,,Organization of American States (OAS),,,,,,,,,,,,C,,,,,G,,MALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",68.0,Bolivia (Plurinational State of),2008.0,2.8,2008,,,,,Organization of American States (OAS),,,,,,,,,,,,C,,,,,G,,FEMALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",68.0,Bolivia (Plurinational State of),2015.0,3.5,2015,,,,,Data revised by national authorities in response to the Pre-Publication of the Global Study on Homicide 2023,,,,,,,,,,,,C,,,,,G,,FEMALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",68.0,Bolivia (Plurinational State of),2015.0,5.99,2015,,,,,Data revised by national authorities in response to the Pre-Publication of the Global Study on Homicide 2023,,,,,,,,,,,,C,,,,,G,,MALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",68.0,Bolivia (Plurinational State of),2015.0,4.9,2015,,,,,Data revised by national authorities in response to the Pre-Publication of the Global Study on Homicide 2023,,,,,,,,,,,,C,,,,,G,,BOTHSEX,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",68.0,Bolivia (Plurinational State of),2016.0,5.7,2016,,,,,Data revised by national authorities in response to the Pre-Publication of the Global Study on Homicide 2023,,,,,,,,,,,,C,,,,,G,,BOTHSEX,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",68.0,Bolivia (Plurinational State of),2016.0,7.01,2016,,,,,Data revised by national authorities in response to the Pre-Publication of the Global Study on Homicide 2023,,,,,,,,,,,,C,,,,,G,,MALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",68.0,Bolivia (Plurinational State of),2016.0,3.89,2016,,,,,Data revised by national authorities in response to the Pre-Publication of the Global Study on Homicide 2023,,,,,,,,,,,,C,,,,,G,,FEMALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",68.0,Bolivia (Plurinational State of),2017.0,4.27,2017,,,,,Data revised by national authorities in response to the Pre-Publication of the Global Study on Homicide 2023,,,,,,,,,,,,C,,,,,G,,FEMALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",68.0,Bolivia (Plurinational State of),2017.0,8.37,2017,,,,,Data revised by national authorities in response to the Pre-Publication of the Global Study on Homicide 2023,,,,,,,,,,,,C,,,,,G,,MALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",68.0,Bolivia (Plurinational State of),2017.0,6.53,2017,,,,,Data revised by national authorities in response to the Pre-Publication of the Global Study on Homicide 2023,,,,,,,,,,,,C,,,,,G,,BOTHSEX,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",68.0,Bolivia (Plurinational State of),2018.0,4.95,2018,,,,,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),,,,,,,,,,,,C,,,,,G,,BOTHSEX,,PER_100000_POP
