Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Age],[Freq],[Location],[Nature],[Observation Status],[Reporting Type],[Sex],[Tariff regime (status)],[Type of product],[Type of speed],[Units]
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),68.0,Bolivia (Plurinational State of),2000.0,24.6421559245815,2000.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),68.0,Bolivia (Plurinational State of),2001.0,24.5931021605719,2001.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),68.0,Bolivia (Plurinational State of),2002.0,27.3096354015585,2002.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),68.0,Bolivia (Plurinational State of),2003.0,28.3792418521741,2003.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),68.0,Bolivia (Plurinational State of),2004.0,30.3620280583331,2004.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),68.0,Bolivia (Plurinational State of),2005.0,34.5560749409368,2005.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),68.0,Bolivia (Plurinational State of),2006.0,49.5866926700548,2006.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),68.0,Bolivia (Plurinational State of),2007.0,36.7991442746757,2007.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),68.0,Bolivia (Plurinational State of),2000.0,56.4334725436352,2000.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),68.0,Bolivia (Plurinational State of),2001.0,49.2642174143853,2001.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),68.0,Bolivia (Plurinational State of),2002.0,48.2276635651725,2002.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),68.0,Bolivia (Plurinational State of),2003.0,48.0137861539683,2003.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),68.0,Bolivia (Plurinational State of),2004.0,54.3094547827308,2004.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),68.0,Bolivia (Plurinational State of),2005.0,60.9626790309559,2005.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),68.0,Bolivia (Plurinational State of),2006.0,70.189450903071,2006.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),68.0,Bolivia (Plurinational State of),2007.0,70.6231308775793,2007.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",68.0,Bolivia (Plurinational State of),2000.0,12796.3,2000.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",68.0,Bolivia (Plurinational State of),2001.0,13228.71,2001.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",68.0,Bolivia (Plurinational State of),2002.0,15479.73707359,2002.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",68.0,Bolivia (Plurinational State of),2003.0,17568.01318647,2003.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",68.0,Bolivia (Plurinational State of),2004.0,21139.9,2004.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",68.0,Bolivia (Plurinational State of),2005.0,26616.40805257,2005.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",68.0,Bolivia (Plurinational State of),2006.0,45494.697285565,2006.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",68.0,Bolivia (Plurinational State of),2007.0,37906.497664558,2007.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2005.0,8.53314,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,IND,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2005.0,11.76721,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ARM,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2005.0,10.92586,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,AGR,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2005.0,8.91399,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ALP,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2005.0,10.0,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,OIL,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2005.0,10.98422,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,TEX,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2005.0,16.82032,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,CLO,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2010.0,11.32061,2010.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,AGR,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2010.0,19.80072,2010.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ARM,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2010.0,8.90247,2010.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ALP,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2010.0,8.45203,2010.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,IND,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2010.0,13.36279,2010.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,TEX,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2010.0,34.64664,2010.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,CLO,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2015.0,8.82822,2015.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ALP,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2015.0,16.26126,2015.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ARM,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2015.0,11.79188,2015.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,AGR,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2015.0,40.0,2015.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,CLO,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2015.0,16.62668,2015.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,TEX,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2015.0,8.22981,2015.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,IND,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2015.0,10.0,2015.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,OIL,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2016.0,11.38134,2016.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,AGR,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2016.0,15.69462,2016.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ARM,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2016.0,8.20023,2016.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ALP,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2016.0,16.66027,2016.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,TEX,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2016.0,10.0,2016.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,OIL,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2016.0,40.0,2016.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,CLO,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2016.0,7.57179,2016.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,IND,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2017.0,8.81749,2017.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ALP,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2017.0,16.29563,2017.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ARM,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2017.0,13.74216,2017.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,AGR,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2017.0,15.94695,2017.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,TEX,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2017.0,10.0,2017.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,OIL,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2017.0,40.0,2017.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,CLO,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2017.0,8.01992,2017.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,IND,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2018.0,14.06107,2018.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,AGR,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2018.0,16.29563,2018.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ARM,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2018.0,8.84459,2018.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ALP,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2018.0,40.0,2018.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,CLO,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2018.0,15.94695,2018.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,TEX,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2018.0,8.01992,2018.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,IND,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2018.0,10.0,2018.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,OIL,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2019.0,16.79066,2019.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,TEX,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",68.0,Bolivia (Plurinational State of),2019.0,13.58271,2019.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,AGR,,PERCENT
