Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Location],[Nature],[Reporting Type],[Type of renewable technology],[Units]
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),68.0,Bolivia (Plurinational State of),2000.0,63,2000.0,,72,54,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,ALLAREA,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),68.0,Bolivia (Plurinational State of),2000.0,18,2000.0,,30,10,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,RURAL,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),68.0,Bolivia (Plurinational State of),2000.0,92,2000.0,,>95,86,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,URBAN,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),68.0,Bolivia (Plurinational State of),2001.0,64,2001.0,,73,55,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,ALLAREA,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),68.0,Bolivia (Plurinational State of),2001.0,20,2001.0,,31,11,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,RURAL,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),68.0,Bolivia (Plurinational State of),2001.0,93,2001.0,,>95,87,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,URBAN,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),68.0,Bolivia (Plurinational State of),2002.0,65,2002.0,,74,56,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,ALLAREA,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),68.0,Bolivia (Plurinational State of),2002.0,21,2002.0,,33,12,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,RURAL,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),68.0,Bolivia (Plurinational State of),2002.0,93,2002.0,,>95,87,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,URBAN,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),68.0,Bolivia (Plurinational State of),2003.0,22,2003.0,,34,13,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,RURAL,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),68.0,Bolivia (Plurinational State of),2003.0,94,2003.0,,>95,88,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,URBAN,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),68.0,Bolivia (Plurinational State of),2003.0,66,2003.0,,75,57,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,ALLAREA,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),68.0,Bolivia (Plurinational State of),2004.0,68,2004.0,,76,58,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,ALLAREA,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),68.0,Bolivia (Plurinational State of),2004.0,94,2004.0,,>95,88,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,URBAN,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),68.0,Bolivia (Plurinational State of),2004.0,24,2004.0,,36,14,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,RURAL,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),68.0,Bolivia (Plurinational State of),2005.0,94,2005.0,,>95,89,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,URBAN,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),68.0,Bolivia (Plurinational State of),2005.0,69,2005.0,,77,60,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,ALLAREA,E,G,,PERCENT
