Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Age],[Disability status],[Education level],[Freq],[Location],[Migratory status],[Nature],[Observation Status],[Quantile],[Reporting Type],[Sex],[Type of occupation],[Type of product],[Units]
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),68.0,Bolivia (Plurinational State of),2000.0,0.68,2000,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),68.0,Bolivia (Plurinational State of),2001.0,-0.1,2001,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),68.0,Bolivia (Plurinational State of),2002.0,0.71,2002,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),68.0,Bolivia (Plurinational State of),2003.0,0.93,2003,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),68.0,Bolivia (Plurinational State of),2004.0,2.38,2004,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),68.0,Bolivia (Plurinational State of),2005.0,2.63,2005,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),68.0,Bolivia (Plurinational State of),2006.0,2.98,2006,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),68.0,Bolivia (Plurinational State of),2007.0,2.75,2007,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),68.0,Bolivia (Plurinational State of),2008.0,4.33,2008,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),68.0,Bolivia (Plurinational State of),2009.0,1.6,2009,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
