Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Counterpart],[Disability status],[Fiscal intervention stage],[Freq],[Grounds of discrimination],[Location],[Migratory status],[Name of international institution],[Nature],[Observation Status],[Policy Domains],[Quantile],[Reporting Type],[Sex],[Type of product],[Units]
10.0,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),76.0,Brazil,2021.0,-1.18,2021,,,,,World Bank,,Estimated from income data. Growth rates are for the period of 2016-2021.,,,,,,,,,,G,,,_T,G,,,PERCENT
10.0,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),76.0,Brazil,2021.0,-0.85,2021,,,,,World Bank,,Estimated from income data. Growth rates are for the period of 2016-2021.,,,,,,,,,,G,,,B40,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,1981.0,24.6,1981,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,1982.0,25.0,1982,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,1983.0,25.1,1983,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,1984.0,24.0,1984,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,1985.0,24.5,1985,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,1986.0,24.5,1986,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,1987.0,25.7,1987,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,1988.0,26.5,1988,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,1989.0,26.5,1989,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,1990.0,25.9,1990,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,1992.0,25.3,1992,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,1993.0,25.2,1993,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,1995.0,25.6,1995,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,1996.0,26.2,1996,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,1997.0,25.3,1997,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,1998.0,25.0,1998,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,1999.0,25.2,1999,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,2001.0,25.9,2001,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,2002.0,25.3,2002,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,2003.0,25.3,2003,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,2004.0,24.5,2004,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,2005.0,24.3,2005,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,2006.0,23.6,2006,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,2007.0,24.2,2007,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,2008.0,23.5,2008,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,2009.0,23.4,2009,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,2011.0,23.1,2011,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNAD. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),76.0,Brazil,2012.0,22.8,2012,,,,,World Bank's Poverty and Inequality Platform,,Based on data from PNADC-E1. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
