Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Freq],[Location],[Nature],[Observation Status],[Reporting Type],[Severity of price levels],[Sex],[Type of product],[Units]
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),76.0,Brazil,2001.0,10.7,2000-2002,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2000-2002.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),76.0,Brazil,2002.0,9.3,2001-2003,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2001-2003.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),76.0,Brazil,2003.0,7.9,2002-2004,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2002-2004.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),76.0,Brazil,2004.0,6.8,2003-2005,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2003-2005.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),76.0,Brazil,2005.0,6.5,2004-2006,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2004-2006.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),76.0,Brazil,2006.0,6.2,2005-2007,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2005-2007.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),76.0,Brazil,2007.0,5.6,2006-2008,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2006-2008.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),76.0,Brazil,2008.0,5.1,2007-2009,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2007-2009.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),76.0,Brazil,2009.0,4.3,2008-2010,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2008-2010.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),76.0,Brazil,2010.0,3.7,2009-2011,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2009-2011.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),76.0,Brazil,2011.0,3.2,2010-2012,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2010-2012.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),76.0,Brazil,2012.0,3,2011-2013,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2011-2013.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),76.0,Brazil,2013.0,2.8,2012-2014,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2012-2014.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),76.0,Brazil,2014.0,2.5,2013-2015,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2013-2015.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),76.0,Brazil,2015.0,<2.5,2014-2016,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2014-2016.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),76.0,Brazil,2016.0,<2.5,2015-2017,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2015-2017.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),76.0,Brazil,2017.0,<2.5,2016-2018,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2016-2018.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),76.0,Brazil,2018.0,<2.5,2017-2019,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2017-2019.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),76.0,Brazil,2019.0,2.6,2018-2020,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2018-2020. Estimates are based on projected values.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),76.0,Brazil,2020.0,4.1,2019-2021,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2019-2021. Estimates are based on projected values.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),76.0,Brazil,2015.0,18.3,2014-2016,,20.7,16.0,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2014-2016.,ALLAGE,,,G,A,G,,BOTHSEX,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),76.0,Brazil,2015.0,11.2,2014-2016,,15.9,6.6,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2014-2016.,15+,,,G,A,G,,MALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),76.0,Brazil,2015.0,15.2,2014-2016,,18.9,11.5,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2014-2016.,15+,,,G,A,G,,FEMALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),76.0,Brazil,2016.0,11.2,2015-2017,,15.9,6.6,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2015-2017.,15+,,,G,A,G,,MALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),76.0,Brazil,2016.0,21.5,2015-2017,,23.9,19.2,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2015-2017.,ALLAGE,,,G,A,G,,BOTHSEX,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),76.0,Brazil,2016.0,15.2,2015-2017,,18.9,11.5,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2015-2017.,15+,,,G,A,G,,FEMALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),76.0,Brazil,2017.0,15.2,2016-2018,,18.9,11.5,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2016-2018.,15+,,,G,A,G,,FEMALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),76.0,Brazil,2017.0,11.2,2016-2018,,15.9,6.6,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2016-2018.,15+,,,G,A,G,,MALE,,PERCENT
