Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Age],[Deviation Level],[Freq],[Level/Status],[Location],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2000.0,76.0,2000,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,ALLAREA,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2000.0,47.0,2000,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,RURAL,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2000.0,83.0,2000,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,URBAN,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2001.0,77.0,2001,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,ALLAREA,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2001.0,49.0,2001,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,RURAL,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2001.0,83.0,2001,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,URBAN,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2002.0,77.0,2002,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,ALLAREA,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2002.0,83.0,2002,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,URBAN,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2002.0,50.0,2002,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,RURAL,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2003.0,77.0,2003,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,ALLAREA,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2003.0,51.0,2003,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,RURAL,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2003.0,83.0,2003,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,URBAN,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2004.0,78.0,2004,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,ALLAREA,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2004.0,52.0,2004,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,RURAL,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2004.0,83.0,2004,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,URBAN,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2005.0,78.0,2005,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,ALLAREA,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2005.0,52.0,2005,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,RURAL,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2005.0,83.0,2005,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,URBAN,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2006.0,78.0,2006,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,ALLAREA,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2006.0,53.0,2006,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,RURAL,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2006.0,83.0,2006,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,URBAN,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2007.0,54.0,2007,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,RURAL,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",76.0,Brazil,2007.0,83.0,2007,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,URBAN,E,,G,,PERCENT
