Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Age],[Disability status],[Education level],[Freq],[Location],[Migratory status],[Nature],[Observation Status],[Quantile],[Reporting Type],[Sex],[Type of occupation],[Type of product],[Units]
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2000.0,2.89,2000,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2001.0,0.06,2001,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2002.0,1.76,2002,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2003.0,-0.05,2003,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2004.0,4.56,2004,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2005.0,2.06,2005,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2006.0,2.85,2006,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2007.0,4.98,2007,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2008.0,4.06,2008,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2009.0,-1.07,2009,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2010.0,6.52,2010,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2011.0,3.01,2011,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2012.0,1.01,2012,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2013.0,2.11,2013,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2014.0,-0.35,2014,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2015.0,-4.36,2015,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2016.0,-4.06,2016,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2017.0,0.52,2017,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2018.0,0.98,2018,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2019.0,0.45,2019,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2020.0,-4.52,2020,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),76.0,Brazil,2021.0,4.07,2021,,,,2015.0,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,,,,CA,A,,G,,,,PERCENT
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",76.0,Brazil,2004.0,105.073482723524,2004,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",76.0,Brazil,2005.0,108.576563289308,2005,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",76.0,Brazil,2006.0,107.155260858837,2006,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",76.0,Brazil,2007.0,109.339067034545,2007,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",76.0,Brazil,2008.0,111.840386217912,2008,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",76.0,Brazil,2009.0,114.388290176855,2009,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",76.0,Brazil,2010.0,118.058788125972,2010,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",76.0,Brazil,2011.0,116.305383403221,2011,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",76.0,Brazil,2012.0,115.361071016349,2012,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",76.0,Brazil,2013.0,118.436601819029,2013,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",76.0,Brazil,2014.0,117.934665949576,2014,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",76.0,Brazil,2015.0,114.972491940222,2015,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",76.0,Brazil,2016.0,112.099750919518,2016,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",76.0,Brazil,2017.0,107.871672005632,2017,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",76.0,Brazil,2018.0,106.547487867001,2018,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",76.0,Brazil,2019.0,102.743861055202,2019,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",76.0,Brazil,2020.0,96.5550872184938,2020,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",76.0,Brazil,2021.0,94.4695735465597,2021,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",76.0,Brazil,2011.0,61.09774,2011,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,_T,,ALLAREA,,G,,_T,G,MALE,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",76.0,Brazil,2011.0,36.3427,2011,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15-24,,_T,,ALLAREA,,G,,_T,G,BOTHSEX,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",76.0,Brazil,2011.0,51.01785,2011,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,_T,,ALLAREA,,G,,_T,G,FEMALE,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",76.0,Brazil,2011.0,61.98526,2011,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,25+,,_T,,ALLAREA,,G,,_T,G,BOTHSEX,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",76.0,Brazil,2011.0,68.07524,2011,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,_T,,ALLAREA,,G,,R60,G,BOTHSEX,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",76.0,Brazil,2011.0,37.52705,2011,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,_T,,ALLAREA,,G,,B40,G,BOTHSEX,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",76.0,Brazil,2011.0,47.15191,2011,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,AGG_0_1,,ALLAREA,,G,,_T,G,BOTHSEX,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",76.0,Brazil,2011.0,55.86038,2011,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,_T,,ALLAREA,,G,,_T,G,BOTHSEX,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",76.0,Brazil,2011.0,63.83004,2011,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,AGG_GE2,,ALLAREA,,G,,_T,G,BOTHSEX,,,PERCENT
