Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Counterpart],[Disability status],[Fiscal intervention stage],[Freq],[Grounds of discrimination],[Location],[Migratory status],[Name of international institution],[Nature],[Observation Status],[Policy Domains],[Quantile],[Reporting Type],[Sex],[Type of product],[Units]
10.0,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),152.0,Chile,2020.0,2.5,2020,,,,,World Bank,,Estimated from income data. Growth rates are for the period of 2015-2020.,,,,,,,,,,G,,,_T,G,,,PERCENT
10.0,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),152.0,Chile,2020.0,1.92,2020,,,,,World Bank,,Estimated from income data. Growth rates are for the period of 2015-2020.,,,,,,,,,,G,,,B40,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),152.0,Chile,1987.0,20.8,1987,,,,,World Bank's Poverty and Inequality Platform,,Based on data from CASEN. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),152.0,Chile,1990.0,20.3,1990,,,,,World Bank's Poverty and Inequality Platform,,Based on data from CASEN. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),152.0,Chile,1992.0,18.7,1992,,,,,World Bank's Poverty and Inequality Platform,,Based on data from CASEN. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),152.0,Chile,1994.0,20.3,1994,,,,,World Bank's Poverty and Inequality Platform,,Based on data from CASEN. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),152.0,Chile,1996.0,19.6,1996,,,,,World Bank's Poverty and Inequality Platform,,Based on data from CASEN. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),152.0,Chile,1998.0,20.5,1998,,,,,World Bank's Poverty and Inequality Platform,,Based on data from CASEN. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),152.0,Chile,2000.0,19.3,2000,,,,,World Bank's Poverty and Inequality Platform,,Based on data from CASEN. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),152.0,Chile,2003.0,19.5,2003,,,,,World Bank's Poverty and Inequality Platform,,Based on data from CASEN. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),152.0,Chile,2006.0,16.4,2006,,,,,World Bank's Poverty and Inequality Platform,,Based on data from CASEN. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),152.0,Chile,2009.0,14.9,2009,,,,,World Bank's Poverty and Inequality Platform,,Based on data from CASEN. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),152.0,Chile,2011.0,14.6,2011,,,,,World Bank's Poverty and Inequality Platform,,Based on data from CASEN. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),152.0,Chile,2013.0,13.9,2013,,,,,World Bank's Poverty and Inequality Platform,,Based on data from CASEN. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),152.0,Chile,2015.0,13.6,2015,,,,,World Bank's Poverty and Inequality Platform,,Based on data from CASEN. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),152.0,Chile,2017.0,13.6,2017,,,,,World Bank's Poverty and Inequality Platform,,Based on data from CASEN. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),152.0,Chile,2020.0,14.1,2020,,,,,World Bank's Poverty and Inequality Platform,,Based on data from CASEN. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
