Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Hazard type],[Nature],[Report Ordinal],[Reporting Type],[Type of support],[Units]
13.0,13.1,13.1.1,VC_DSR_MISS,Number of missing persons due to disaster (number),152.0,Chile,2005.0,0.0,2005,,,,,United Nations Office for Disaster Risk Reduction (2023),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,C,,G,,NUMBER
13.0,13.1,13.1.1,VC_DSR_MISS,Number of missing persons due to disaster (number),152.0,Chile,2006.0,0.0,2006,,,,,United Nations Office for Disaster Risk Reduction (2023),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,C,,G,,NUMBER
13.0,13.1,13.1.1,VC_DSR_MISS,Number of missing persons due to disaster (number),152.0,Chile,2007.0,0.0,2007,,,,,United Nations Office for Disaster Risk Reduction (2023),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,C,,G,,NUMBER
13.0,13.1,13.1.1,VC_DSR_MISS,Number of missing persons due to disaster (number),152.0,Chile,2008.0,0.0,2008,,,,,United Nations Office for Disaster Risk Reduction (2023),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,C,,G,,NUMBER
13.0,13.1,13.1.1,VC_DSR_MISS,Number of missing persons due to disaster (number),152.0,Chile,2009.0,0.0,2009,,,,,United Nations Office for Disaster Risk Reduction (2023),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,C,,G,,NUMBER
13.0,13.1,13.1.1,VC_DSR_MISS,Number of missing persons due to disaster (number),152.0,Chile,2010.0,56.0,2010,,,,,United Nations Office for Disaster Risk Reduction (2023),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,C,,G,,NUMBER
13.0,13.1,13.1.1,VC_DSR_MISS,Number of missing persons due to disaster (number),152.0,Chile,2011.0,0.0,2011,,,,,United Nations Office for Disaster Risk Reduction (2023),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,C,,G,,NUMBER
13.0,13.1,13.1.1,VC_DSR_MISS,Number of missing persons due to disaster (number),152.0,Chile,2012.0,7.0,2012,,,,,United Nations Office for Disaster Risk Reduction (2023),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,C,,G,,NUMBER
13.0,13.1,13.1.1,VC_DSR_MISS,Number of missing persons due to disaster (number),152.0,Chile,2013.0,0.0,2013,,,,,United Nations Office for Disaster Risk Reduction (2023),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,C,,G,,NUMBER
13.0,13.1,13.1.1,VC_DSR_MISS,Number of missing persons due to disaster (number),152.0,Chile,2014.0,1.0,2014,,,,,United Nations Office for Disaster Risk Reduction (2023),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,C,,G,,NUMBER
