Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Freq],[IHR Capacity],[Location],[Name of non-communicable disease],[Nature],[Observation Status],[Reporting Type],[Sex],[Substance use disorders],[Type of occupation],[Units]
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,1993.0,99,1993.0,,,,,"Health Situation in the Americas: Basic Indicators 1991-1993. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 1994.
",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,1994.0,99.5,1994.0,,,,,"Totales Nacionales Chile, 1994-1998 Annex 10. Geneva: World Health Organization (WHO); 1999. (Data provided by UNICEF March 2016).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,1995.0,99.5,1995.0,,,,,"Totales Nacionales Chile, 1994-1998 Annex 10. Geneva: World Health Organization (WHO); 1999. (Data provided by UNICEF March 2016).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,1996.0,99.6,1996.0,,,,,"Ayala, A, Matrona Encargada Programa Salud de la Mujer Ministerio de Salud, Chile [fax]. Santiago; 9 July 1998 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,1997.0,99.4,1997.0,,,,,Anuario de Demografía 1997. Santiago: Instituto Nacional de Estadísticas; 1999 (in Spanish).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,1998.0,99.6,1998.0,,,,,Anuario de Demografía 1998. Santiago: Instituto Nacional de Estadísticas; 1999 (in Spanish).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,1999.0,99.4,1999.0,,,,,Anuario de Demografía 1999. Santiago: Instituto Nacional de Estadísticas; 2001 (in Spanish).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,2000.0,99.8,2000.0,,,,,"PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 30 December 2021).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,2001.0,99.8,2001.0,,,,,Indicadores Básicos de Salud 2003. Chile: Ministerio de Salud - Departamento de Estadísticas e Información de Salud (DEIS); 2003 (in Spanish).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,2002.0,99.8,2002.0,,,,,Indicadores Básicos de Salud 2004. Chile: Ministerio de Salud - Departamento de Estadísticas e Información de Salud (DEIS); 2004 (in Spanish).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,2003.0,99.8,2003.0,,,,,"PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 30 December 2021).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,2004.0,99.8,2004.0,,,,,Indicadores Básicos de Salud 2006. Chile: Ministerio de Salud - Departamento de Estadísticas e Información de Salud (DEIS); 2006 (in Spanish).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,2005.0,99.8,2005.0,,,,,Indicadores Básicos de Salud 2007. Chile: Ministerio de Salud - Departamento de Estadísticas e Información de Salud (DEIS); 2007 (in Spanish).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,2006.0,99.8,2006.0,,,,,Estadísticas Vitales - Informe  Annual 2006. Santiago: Instituto Nacional de Estadísticas; 2009 (in Spanish).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,2007.0,99.7,2007.0,,,,,Estadísticas Vitales - Informe  Annual 2007. Santiago: Instituto Nacional de Estadísticas; 2009 (in Spanish).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,2008.0,99.8,2008.0,,,,,Estadísticas Vitales - Informe  Annual 2008. Santiago: Instituto Nacional de Estadísticas; 2010 (in Spanish).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,2009.0,99.8,2009.0,,,,,Estadísticas Vitales - Informe  Annual 2009. Santiago: Instituto Nacional de Estadísticas; 2011 (in Spanish).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,2010.0,99.8,2010.0,,,,,Estadísticas Vitales - Informe  Annual 2010. Santiago: Instituto Nacional de Estadísticas; 2012 (in Spanish).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,2011.0,99.9,2011.0,,,,,Estadísticas Vitales - Informe  Annual 2011. Santiago: Instituto Nacional de Estadísticas [Chile]; 2013 (in Spanish).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,2012.0,99.8,2012.0,,,,,Estadísticas Vitales - Anuario 2012. Santiago: Instituto Nacional de Estadísticas [Chile]; 2014 (in Spanish).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,2013.0,99.8,2013.0,,,,,Estadísticas Vitales - Anuario 2013. Santiago: Instituto Nacional de Estadísticas [Chile]; 2015 (in Spanish).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,2014.0,99.8,2014.0,,,,,Estadísticas Vitales - Anuario 2014. Santiago: Instituto Nacional de Estadísticas [Chile]; 2016 (in Spanish).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,2015.0,99.7,2015.0,,,,,Estadísticas Vitales - Anuario 2015. Santiago: Instituto Nacional de Estadísticas [Chile]; 2017 (in Spanish).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,2016.0,99.7,2016.0,,,,,Estadísticas Vitales - Anuario 2016. Santiago: Instituto Nacional de Estadísticas [Chile]; 2018 (in Spanish).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,2017.0,99.8,2017.0,,,,,"Anuario de estadísticas vitales, 2017. Santiago: Instituto Nacional de Estadísticas [Chile]; 2019 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,2018.0,99.8,2018.0,,,,,"PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 30 December 2021).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),152.0,Chile,2019.0,99.8,2019.0,,,,,"Anuario de estadísticas vitales, 2019. Santiago: Instituto Nacional de Estadísticas [Chile]; 2019 (in Spanish).",,2022 Country Consultation: newly added,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,152.0,Chile,2000.0,32.55022,2000.0,,37.6705,28.27189,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,152.0,Chile,2001.0,34.01686,2001.0,,39.32282,29.64811,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,152.0,Chile,2002.0,31.56189,2002.0,,36.23342,27.64411,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,152.0,Chile,2003.0,32.20279,2003.0,,36.84118,28.3417,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,152.0,Chile,2004.0,28.76468,2004.0,,32.80016,25.34867,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,152.0,Chile,2005.0,27.26825,2005.0,,31.15414,24.15535,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,152.0,Chile,2006.0,29.10072,2006.0,,33.09779,25.76937,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,152.0,Chile,2007.0,28.48279,2007.0,,32.28743,25.26501,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,152.0,Chile,2008.0,25.63771,2008.0,,29.0903,22.92244,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,152.0,Chile,2009.0,24.11786,2009.0,,27.19805,21.68517,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,152.0,Chile,2010.0,23.36026,2010.0,,26.33804,21.06899,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,152.0,Chile,2011.0,20.15415,2011.0,,22.65087,18.21486,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,152.0,Chile,2012.0,18.9734,2012.0,,21.21746,17.09695,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,152.0,Chile,2013.0,17.98455,2013.0,,19.98225,16.11748,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,152.0,Chile,2014.0,16.09087,2014.0,,17.87082,14.48583,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,152.0,Chile,2015.0,16.2128,2015.0,,17.96404,14.55785,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
3.0,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,152.0,Chile,2016.0,15.01822,2016.0,,16.60125,13.5396,,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",,,,,,,,E,,G,FEMALE,,,PER_100000_LIVE_BIRTHS
