Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Counterpart],[Disability status],[Fiscal intervention stage],[Freq],[Grounds of discrimination],[Location],[Migratory status],[Name of international institution],[Nature],[Observation Status],[Policy Domains],[Quantile],[Reporting Type],[Sex],[Type of product],[Units]
10.0,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),170.0,Colombia,2021.0,-1.62,2021,,,,,World Bank,,Estimated from income data. Growth rates are for the period of 2016-2021.,,,,,,,,,,G,,,_T,G,,,PERCENT
10.0,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),170.0,Colombia,2021.0,-2.39,2021,,,,,World Bank,,Estimated from income data. Growth rates are for the period of 2016-2021.,,,,,,,,,,G,,,B40,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,1992.0,19.9,1992,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ENH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,1996.0,22.8,1996,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ENH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,1999.0,24.5,1999,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ENH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,2000.0,22.7,2000,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ENH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,2001.0,22.7,2001,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ECH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,2002.0,21.7,2002,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ECH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,2003.0,20.8,2003,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ECH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,2004.0,20.4,2004,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ECH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,2005.0,20.5,2005,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ECH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,2008.0,23.3,2008,,,,,World Bank's Poverty and Inequality Platform,,Based on data from GEIH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,2009.0,22.2,2009,,,,,World Bank's Poverty and Inequality Platform,,Based on data from GEIH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,2010.0,22.0,2010,,,,,World Bank's Poverty and Inequality Platform,,Based on data from GEIH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,2011.0,21.5,2011,,,,,World Bank's Poverty and Inequality Platform,,Based on data from GEIH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,2012.0,21.9,2012,,,,,World Bank's Poverty and Inequality Platform,,Based on data from GEIH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,2013.0,21.8,2013,,,,,World Bank's Poverty and Inequality Platform,,Based on data from GEIH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,2014.0,21.7,2014,,,,,World Bank's Poverty and Inequality Platform,,Based on data from GEIH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,2015.0,21.1,2015,,,,,World Bank's Poverty and Inequality Platform,,Based on data from GEIH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,2016.0,20.7,2016,,,,,World Bank's Poverty and Inequality Platform,,Based on data from GEIH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,2017.0,20.2,2017,,,,,World Bank's Poverty and Inequality Platform,,Based on data from GEIH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,2018.0,20.4,2018,,,,,World Bank's Poverty and Inequality Platform,,Based on data from GEIH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,2019.0,21.2,2019,,,,,World Bank's Poverty and Inequality Platform,,Based on data from GEIH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,2020.0,22.2,2020,,,,,World Bank's Poverty and Inequality Platform,,Based on data from GEIH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),170.0,Colombia,2021.0,20.7,2021,,,,,World Bank's Poverty and Inequality Platform,,Based on data from GEIH. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.3,10.3.1,VC_VOV_GDSD,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",170.0,Colombia,2021.0,3.8,2021,,,,,National Statistical Office - Political Culture Survey,,"Time period: refers only to occurrences in the last 12 months. Age: 18-65+ years. Sample size: 35805. Discrimination grounds (12): sex; age; disability or health status; ethnicity, colour, language; migration status; socio-economic status; geographic location or place of residence; religion; marital and family status; sexual orientation  and gender identity; political opinion; other grounds.",,,_T,,,AGE,URBAN,,,C,A,,,G,BOTHSEX,,PERCENT
10.0,10.3,10.3.1,VC_VOV_GDSD,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",170.0,Colombia,2021.0,10.8,2021,,,,,National Statistical Office - Political Culture Survey,,"Time period: refers only to occurrences in the last 12 months. Age: 18-65+ years. Sample size: 35805. Discrimination grounds (12): sex; age; disability or health status; ethnicity, colour, language; migration status; socio-economic status; geographic location or place of residence; religion; marital and family status; sexual orientation  and gender identity; political opinion; other grounds.",,,_T,,,ALL,URBAN,,,C,A,,,G,BOTHSEX,,PERCENT
10.0,10.3,10.3.1,VC_VOV_GDSD,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",170.0,Colombia,2021.0,10.2,2021,,,,,National Statistical Office - Political Culture Survey,,"Time period: refers only to occurrences in the last 12 months. Age: 18-65+ years. Sample size: 35805. Discrimination grounds (12): sex; age; disability or health status; ethnicity, colour, language; migration status; socio-economic status; geographic location or place of residence; religion; marital and family status; sexual orientation  and gender identity; political opinion; other grounds.",,,_T,,,ALL,ALLAREA,,,C,A,,,G,BOTHSEX,,PERCENT
10.0,10.3,10.3.1,VC_VOV_GDSD,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",170.0,Colombia,2021.0,9.4,2021,,,,,National Statistical Office - Political Culture Survey,,"Time period: refers only to occurrences in the last 12 months. Age: 18-65+ years. Sample size: 35805. Discrimination grounds (12): sex; age; disability or health status; ethnicity, colour, language; migration status; socio-economic status; geographic location or place of residence; religion; marital and family status; sexual orientation  and gender identity; political opinion; other grounds.",,,_T,,,ALL,ALLAREA,,,C,A,,,G,MALE,,PERCENT
10.0,10.3,10.3.1,VC_VOV_GDSD,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",170.0,Colombia,2021.0,10.9,2021,,,,,National Statistical Office - Political Culture Survey,,"Time period: refers only to occurrences in the last 12 months. Age: 18-65+ years. Sample size: 35805. Discrimination grounds (12): sex; age; disability or health status; ethnicity, colour, language; migration status; socio-economic status; geographic location or place of residence; religion; marital and family status; sexual orientation  and gender identity; political opinion; other grounds.",,,_T,,,ALL,ALLAREA,,,C,A,,,G,FEMALE,,PERCENT
10.0,10.3,10.3.1,VC_VOV_GDSD,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",170.0,Colombia,2021.0,1.6,2021,,,,,National Statistical Office - Political Culture Survey,,"Time period: refers only to occurrences in the last 12 months. Age: 18-65+ years. Sample size: 35805. Discrimination grounds (12): sex; age; disability or health status; ethnicity, colour, language; migration status; socio-economic status; geographic location or place of residence; religion; marital and family status; sexual orientation  and gender identity; political opinion; other grounds.",,,_T,,,RES,ALLAREA,,,C,A,,,G,MALE,,PERCENT
10.0,10.3,10.3.1,VC_VOV_GDSD,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",170.0,Colombia,2021.0,1.9,2021,,,,,National Statistical Office - Political Culture Survey,,"Time period: refers only to occurrences in the last 12 months. Age: 18-65+ years. Sample size: 35805. Discrimination grounds (12): sex; age; disability or health status; ethnicity, colour, language; migration status; socio-economic status; geographic location or place of residence; religion; marital and family status; sexual orientation  and gender identity; political opinion; other grounds.",,,_T,,,SOCIOECON,RURAL,,,C,A,,,G,BOTHSEX,,PERCENT
10.0,10.3,10.3.1,VC_VOV_GDSD,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",170.0,Colombia,2021.0,1.7,2021,,,,,National Statistical Office - Political Culture Survey,,"Time period: refers only to occurrences in the last 12 months. Age: 18-65+ years. Sample size: 35805. Discrimination grounds (12): sex; age; disability or health status; ethnicity, colour, language; migration status; socio-economic status; geographic location or place of residence; religion; marital and family status; sexual orientation  and gender identity; political opinion; other grounds.",,,_T,,,RES,ALLAREA,,,C,A,,,G,BOTHSEX,,PERCENT
10.0,10.3,10.3.1,VC_VOV_GDSD,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",170.0,Colombia,2021.0,0.9,2021,,,,,National Statistical Office - Political Culture Survey,,"Time period: refers only to occurrences in the last 12 months. Age: 18-65+ years. Sample size: 35805. Discrimination grounds (12): sex; age; disability or health status; ethnicity, colour, language; migration status; socio-economic status; geographic location or place of residence; religion; marital and family status; sexual orientation  and gender identity; political opinion; other grounds.",,,_T,,,SEX,ALLAREA,,,C,A,,,G,MALE,,PERCENT
10.0,10.3,10.3.1,VC_VOV_GDSD,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",170.0,Colombia,2021.0,2.2,2021,,,,,National Statistical Office - Political Culture Survey,,"Time period: refers only to occurrences in the last 12 months. Age: 18-65+ years. Sample size: 35805. Discrimination grounds (12): sex; age; disability or health status; ethnicity, colour, language; migration status; socio-economic status; geographic location or place of residence; religion; marital and family status; sexual orientation  and gender identity; political opinion; other grounds.",,,_T,,,SEX,ALLAREA,,,C,A,,,G,FEMALE,,PERCENT
10.0,10.3,10.3.1,VC_VOV_GDSD,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",170.0,Colombia,2021.0,1.6,2021,,,,,National Statistical Office - Political Culture Survey,,"Time period: refers only to occurrences in the last 12 months. Age: 18-65+ years. Sample size: 35805. Discrimination grounds (12): sex; age; disability or health status; ethnicity, colour, language; migration status; socio-economic status; geographic location or place of residence; religion; marital and family status; sexual orientation  and gender identity; political opinion; other grounds.",,,_T,,,SEX,URBAN,,,C,A,,,G,BOTHSEX,,PERCENT
10.0,10.3,10.3.1,VC_VOV_GDSD,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",170.0,Colombia,2021.0,0.8,2021,,,,,National Statistical Office - Political Culture Survey,,"Time period: refers only to occurrences in the last 12 months. Age: 18-65+ years. Sample size: 35805. Discrimination grounds (12): sex; age; disability or health status; ethnicity, colour, language; migration status; socio-economic status; geographic location or place of residence; religion; marital and family status; sexual orientation  and gender identity; political opinion; other grounds.",,,_T,,,SEX,RURAL,,,C,A,,,G,BOTHSEX,,PERCENT
10.0,10.3,10.3.1,VC_VOV_GDSD,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",170.0,Colombia,2021.0,1.6,2021,,,,,National Statistical Office - Political Culture Survey,,"Time period: refers only to occurrences in the last 12 months. Age: 18-65+ years. Sample size: 35805. Discrimination grounds (12): sex; age; disability or health status; ethnicity, colour, language; migration status; socio-economic status; geographic location or place of residence; religion; marital and family status; sexual orientation  and gender identity; political opinion; other grounds.",,,_T,,,RES,RURAL,,,C,A,,,G,BOTHSEX,,PERCENT
