Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Food Waste Sector],[Government_Name],[Level of requirement],[Level/Status],[Name of international agreement],[Nature],[Observation Status],[Policy instruments],[Reporting Type],[Type of product],[Type of renewable technology],[Type of waste treatment],[Units]
12.0,12.1,12.1.1,SG_SCP_CNTRY,Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),170.0,Colombia,2019.0,1.0,2019,,,,,10YFP / WESR ,,,,,,,,,C,A,,G,,,,NUMBER
12.0,12.1,12.1.1,SG_SCP_POLINS,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),170.0,Colombia,2019.0,1.0,2019,,,,,10YFP / WESR ,,,,,,,,,C,A,POLICY_MACRO,G,,,,NUMBER
12.0,12.1,12.1.1,SG_SCP_TOTLN,"Number of policies, instruments and mechanism in place for sustainable consumption and production (Number)",170.0,Colombia,2019.0,1.0,2019,,,,,10YFP / WESR ,,,,,,,,,C,A,,G,,,,NUMBER
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",170.0,Colombia,2000.0,53568186.804,2000,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,NMC,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",170.0,Colombia,2000.0,23099552.0,2000,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,FOF,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",170.0,Colombia,2000.0,4569552.0,2000,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,GAS,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",170.0,Colombia,2000.0,0.0,2000,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,ONT,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",170.0,Colombia,2000.0,285359943.71234,2000,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,ALP,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",170.0,Colombia,2000.0,57142988.95,2000,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,NMM,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",170.0,Colombia,2000.0,33905564.86,2000,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,CPR,,,TONNES
