Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Frequency of Chlorophyll-a concentration],[Level/Status],[Nature],[Observation Status],[Reporting Type],[Sampling Stations],[Units]
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",170.0,Colombia,2005.0,2.95442,2005,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",170.0,Colombia,2006.0,3.16311,2006,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",170.0,Colombia,2007.0,2.84049,2007,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",170.0,Colombia,2008.0,1.73234,2008,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",170.0,Colombia,2009.0,2.22471,2009,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",170.0,Colombia,2010.0,2.53591,2010,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",170.0,Colombia,2011.0,3.44427,2011,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",170.0,Colombia,2012.0,1.56602,2012,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",170.0,Colombia,2013.0,2.46406,2013,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",170.0,Colombia,2014.0,1.57105,2014,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
