Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Cause of death],[Disability status],[Education level],[Freq],[Grounds of discrimination],[Illicit Financial Flows],[Location],[Name of international institution],[Nature],[Observation Status],[Parliamentary committees],[Population Group],[Quantile],[Reporting Type],[Service Attribute],[Sex],[Type of occupation],[Units]
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",170.0,Colombia,2000.0,126.43,2000,,,,,World Health Organization Mortality Database,,,,,,,,,,,,C,,,,,G,,MALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",170.0,Colombia,2000.0,67.68,2000,,,,,"Adhoc Collection of National Criminal Justice Data as collected in 2013 by UNODC, referred to as UNODC Special Data Collection",,,,,,,,,,,,C,,,,,G,,BOTHSEX,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",170.0,Colombia,2000.0,9.74,2000,,,,,World Health Organization Mortality Database,,,,,,,,,,,,C,,,,,G,,FEMALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",170.0,Colombia,2001.0,11.03,2001,,,,,World Health Organization Mortality Database,,,,,,,,,,,,C,,,,,G,,FEMALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",170.0,Colombia,2001.0,129.62,2001,,,,,World Health Organization Mortality Database,,,,,,,,,,,,C,,,,,G,,MALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",170.0,Colombia,2001.0,69.88,2001,,,,,Organization of American States (OAS),,,,,,,,,,,,C,,,,,G,,BOTHSEX,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",170.0,Colombia,2002.0,70.17,2002,,,,,Organization of American States (OAS),,,,,,,,,,,,C,,,,,G,,BOTHSEX,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",170.0,Colombia,2002.0,130.29,2002,,,,,World Health Organization Mortality Database,,,,,,,,,,,,C,,,,,G,,MALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",170.0,Colombia,2002.0,11.0,2002,,,,,World Health Organization Mortality Database,,,,,,,,,,,,C,,,,,G,,FEMALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",170.0,Colombia,2003.0,105.72,2003,,,,,World Health Organization Mortality Database,,,,,,,,,,,,C,,,,,G,,MALE,,PER_100000_POP
