Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Education level],[Freq],[Location],[Nature],[Quantile],[Reporting Type],[Sex],[Type of skill],[Units]
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),170.0,Colombia,2006.0,44.29747,2006,,,,,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,LOWSEC,,,C,,G,BOTHSEX,SKILL_READ,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),170.0,Colombia,2006.0,28.10381,2006,,,,,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,LOWSEC,,,C,,G,BOTHSEX,SKILL_MATH,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),170.0,Colombia,2006.0,54.42434,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 2. Grade 3; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,GRAD23,,,C,,G,MALE,SKILL_MATH,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),170.0,Colombia,2006.0,33.5,2006,,,,,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,LOWSEC,,,C,,G,MALE,SKILL_MATH,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),170.0,Colombia,2006.0,49.11072,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,PRIMAR,,,C,,G,MALE,SKILL_READ,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),170.0,Colombia,2006.0,70.18918,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 2. Grade 3; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,GRAD23,,,C,,G,MALE,SKILL_READ,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),170.0,Colombia,2006.0,71.46,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 2. Grade 3; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,GRAD23,,,C,,G,BOTHSEX,SKILL_READ,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),170.0,Colombia,2006.0,73.50311,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 2. Grade 3; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,GRAD23,,,C,,G,FEMALE,SKILL_READ,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),170.0,Colombia,2006.0,38.06,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,PRIMAR,,,C,,G,BOTHSEX,SKILL_MATH,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),170.0,Colombia,2006.0,42.41275,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,PRIMAR,,,C,,G,MALE,SKILL_MATH,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),170.0,Colombia,2006.0,48.2,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,PRIMAR,,,C,,G,BOTHSEX,SKILL_READ,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),170.0,Colombia,2006.0,34.41809,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,PRIMAR,,,C,,G,FEMALE,SKILL_MATH,PERCENT
