Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Age],[Deviation Level],[Freq],[Level/Status],[Location],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",170.0,Colombia,2000.0,69.0,2000,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,ALLAREA,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",170.0,Colombia,2000.0,34.0,2000,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,RURAL,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",170.0,Colombia,2000.0,81.0,2000,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,URBAN,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",170.0,Colombia,2001.0,69.0,2001,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,ALLAREA,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",170.0,Colombia,2001.0,34.0,2001,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,RURAL,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",170.0,Colombia,2001.0,81.0,2001,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,URBAN,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",170.0,Colombia,2002.0,69.0,2002,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,ALLAREA,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",170.0,Colombia,2002.0,35.0,2002,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,RURAL,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",170.0,Colombia,2002.0,81.0,2002,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,URBAN,E,,G,,PERCENT
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",170.0,Colombia,2003.0,69.0,2003,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,,,,,,ALLAREA,E,,G,,PERCENT
