Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Location],[Nature],[Reporting Type],[Type of renewable technology],[Units]
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),170.0,Colombia,2000.0,78,2000.0,,92,59.0,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,ALLAREA,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),170.0,Colombia,2000.0,33,2000.0,,54,16.0,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,RURAL,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),170.0,Colombia,2000.0,93,2000.0,,>95,86.0,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,URBAN,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),170.0,Colombia,2001.0,79,2001.0,,92,62.0,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,ALLAREA,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),170.0,Colombia,2001.0,34,2001.0,,54,17.0,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,RURAL,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),170.0,Colombia,2001.0,94,2001.0,,>95,87.0,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,URBAN,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),170.0,Colombia,2002.0,80,2002.0,,93,62.0,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,ALLAREA,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),170.0,Colombia,2002.0,34,2002.0,,55,17.0,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,RURAL,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),170.0,Colombia,2002.0,94,2002.0,,>95,87.0,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,URBAN,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),170.0,Colombia,2003.0,35,2003.0,,56,18.0,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,RURAL,E,G,,PERCENT
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),170.0,Colombia,2003.0,95,2003.0,,>95,88.0,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,URBAN,E,G,,PERCENT
