Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Hazard type],[Location],[Nature],[Observation Status],[Quantile],[Reporting Type],[Sex],[Units]
1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),218.0,Ecuador,1994.0,17.3,1994.0,,,,2017.0,"Poverty and Inequality Portal, World Bank",,"Accessed March 21, 2023. Based on data from ECV. Estimated from unit-record income data. ",ALLAGE,,ALLAREA,G,,,G,BOTHSEX,PERCENT
1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),218.0,Ecuador,1999.0,21.8,1999.0,,,,2017.0,"Poverty and Inequality Portal, World Bank",,"Accessed March 21, 2023. Based on data from ECV. Estimated from unit-record income data. ",ALLAGE,,ALLAREA,G,,,G,BOTHSEX,PERCENT
1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),218.0,Ecuador,2000.0,28.4,2000.0,,,,2017.0,"Poverty and Inequality Portal, World Bank",,"Accessed March 21, 2023. Based on data from EPED. Estimated from unit-record income data. ",ALLAGE,,ALLAREA,G,,,G,BOTHSEX,PERCENT
1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),218.0,Ecuador,2003.0,14.9,2003.0,,,,2017.0,"Poverty and Inequality Portal, World Bank",,"Accessed March 21, 2023. Based on data from ENEMDU. Estimated from unit-record income data. ",ALLAGE,,ALLAREA,G,,,G,BOTHSEX,PERCENT
1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),218.0,Ecuador,2004.0,15.0,2004.0,,,,2017.0,"Poverty and Inequality Portal, World Bank",,"Accessed March 21, 2023. Based on data from ENEMDU. Estimated from unit-record income data. ",ALLAGE,,ALLAREA,G,,,G,BOTHSEX,PERCENT
1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),218.0,Ecuador,2005.0,11.8,2005.0,,,,2017.0,"Poverty and Inequality Portal, World Bank",,"Accessed March 21, 2023. Based on data from ENEMDU. Estimated from unit-record income data. ",ALLAGE,,ALLAREA,G,,,G,BOTHSEX,PERCENT
1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),218.0,Ecuador,2006.0,8.2,2006.0,,,,2017.0,"Poverty and Inequality Portal, World Bank",,"Accessed March 21, 2023. Based on data from ENEMDU. Estimated from unit-record income data. ",ALLAGE,,ALLAREA,G,,,G,BOTHSEX,PERCENT
1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),218.0,Ecuador,2007.0,8.5,2007.0,,,,2017.0,"Poverty and Inequality Portal, World Bank",,"Accessed March 21, 2023. Based on data from ENEMDU. Estimated from unit-record income data. ",ALLAGE,,ALLAREA,G,,,G,BOTHSEX,PERCENT
1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),218.0,Ecuador,2007.0,12.21286,2007.0,,,,2017.0,"Poverty and Inequality Portal, World Bank",,"Accessed March 21, 2023. Survey name: ENEMDU. Uses an income aggregate.",<15Y,,ALLAREA,G,,,G,BOTHSEX,PERCENT
1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),218.0,Ecuador,2007.0,6.71909,2007.0,,,,2017.0,"Poverty and Inequality Portal, World Bank",,"Accessed March 21, 2023. Survey name: ENEMDU. Uses an income aggregate.",15-64,,ALLAREA,G,,,G,BOTHSEX,PERCENT
