Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Counterpart],[Disability status],[Fiscal intervention stage],[Freq],[Grounds of discrimination],[Location],[Migratory status],[Name of international institution],[Nature],[Observation Status],[Policy Domains],[Quantile],[Reporting Type],[Sex],[Type of product],[Units]
10.0,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),218.0,Ecuador,2021.0,-1.36,2021,,,,,World Bank,,Estimated from income data. Growth rates are for the period of 2016-2021.,,,,,,,,,,G,,,B40,G,,,PERCENT
10.0,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),218.0,Ecuador,2021.0,-0.77,2021,,,,,World Bank,,Estimated from income data. Growth rates are for the period of 2016-2021.,,,,,,,,,,G,,,_T,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),218.0,Ecuador,1994.0,21.2,1994,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ECV. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),218.0,Ecuador,1999.0,23.0,1999,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ECV. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),218.0,Ecuador,2000.0,22.4,2000,,,,,World Bank's Poverty and Inequality Platform,,Based on data from EPED. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),218.0,Ecuador,2003.0,22.4,2003,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ENEMDU. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),218.0,Ecuador,2004.0,22.2,2004,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ENEMDU. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),218.0,Ecuador,2005.0,22.9,2005,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ENEMDU. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),218.0,Ecuador,2006.0,21.0,2006,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ENEMDU. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),218.0,Ecuador,2007.0,21.0,2007,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ENEMDU. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
