Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Cities],[Custom Breakdown],[Freq],[Hazard type],[Level_of_government],[Location],[Nature],[Reporting Type],[Sex],[Type of facilities],[Units]
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),218.0,Ecuador,2000.0,57.41273,2000,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),218.0,Ecuador,2002.0,57.84727,2002,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),218.0,Ecuador,2004.0,57.8,2004,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),218.0,Ecuador,2006.0,57.8,2006,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.2,11.2.1,SP_TRN_PUBL,Proportion of population that has convenient access to public transport (%),218.0,Ecuador,2020.0,6.9,2020,,,,,UN-Habitat Urban Indicators Database,,"Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,EC_QUEVEDO,,,,,,E,G,,,PERCENT
11.0,11.2,11.2.1,SP_TRN_PUBL,Proportion of population that has convenient access to public transport (%),218.0,Ecuador,2020.0,10.4,2020,,,,,UN-Habitat Urban Indicators Database,,"Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,EC_MACHALA,,,,,,E,G,,,PERCENT
11.0,11.2,11.2.1,SP_TRN_PUBL,Proportion of population that has convenient access to public transport (%),218.0,Ecuador,2020.0,14.4,2020,,,,,UN-Habitat Urban Indicators Database,,"Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,EC_CHONE,,,,,,E,G,,,PERCENT
11.0,11.2,11.2.1,SP_TRN_PUBL,Proportion of population that has convenient access to public transport (%),218.0,Ecuador,2020.0,18.6,2020,,,,,UN-Habitat Urban Indicators Database,,"Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,EC_MILAGRO,,,,,,E,G,,,PERCENT
11.0,11.2,11.2.1,SP_TRN_PUBL,Proportion of population that has convenient access to public transport (%),218.0,Ecuador,2020.0,22.2,2020,,,,,UN-Habitat Urban Indicators Database,,"Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,EC_SANTO_DOMINGO_LOS_COLORADOS,,,,,,E,G,,,PERCENT
11.0,11.2,11.2.1,SP_TRN_PUBL,Proportion of population that has convenient access to public transport (%),218.0,Ecuador,2020.0,30.8,2020,,,,,UN-Habitat Urban Indicators Database,,"Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,EC_GUAYAQUIL,,,,,,E,G,,,PERCENT
11.0,11.2,11.2.1,SP_TRN_PUBL,Proportion of population that has convenient access to public transport (%),218.0,Ecuador,2020.0,12.3,2020,,,,,UN-Habitat Urban Indicators Database,,"Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,EC_DAULE,,,,,,E,G,,,PERCENT
11.0,11.2,11.2.1,SP_TRN_PUBL,Proportion of population that has convenient access to public transport (%),218.0,Ecuador,2020.0,88.5,2020,,,,,UN-Habitat Urban Indicators Database,,"Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,EC_QUITO,,,,,,E,G,,,PERCENT
11.0,11.2,11.2.1,SP_TRN_PUBL,Proportion of population that has convenient access to public transport (%),218.0,Ecuador,2020.0,58.4,2020,,,,,UN-Habitat Urban Indicators Database,,"Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,EC_CUENCA,,,,,,E,G,,,PERCENT
