Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Frequency of Chlorophyll-a concentration],[Level/Status],[Nature],[Observation Status],[Reporting Type],[Sampling Stations],[Units]
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",218.0,Ecuador,2005.0,2.07063,2005,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",218.0,Ecuador,2006.0,2.19319,2006,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",218.0,Ecuador,2007.0,5.94621,2007,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",218.0,Ecuador,2008.0,0.96867,2008,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",218.0,Ecuador,2009.0,1.95478,2009,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",218.0,Ecuador,2010.0,1.60578,2010,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",218.0,Ecuador,2011.0,2.74307,2011,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",218.0,Ecuador,2012.0,3.66372,2012,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",218.0,Ecuador,2013.0,4.38801,2013,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",218.0,Ecuador,2014.0,2.00628,2014,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",218.0,Ecuador,2015.0,1.53405,2015,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",218.0,Ecuador,2016.0,3.20901,2016,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",218.0,Ecuador,2017.0,1.77932,2017,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",218.0,Ecuador,2018.0,1.58756,2018,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",218.0,Ecuador,2019.0,1.47051,2019,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",218.0,Ecuador,2020.0,3.81834,2020,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",218.0,Ecuador,2021.0,1.30315,2021,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",218.0,Ecuador,2022.0,1.08413,2022,,,,,World Environment Situation Room,,,,,E,A,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",218.0,Ecuador,2018.0,0.01531,2018,,,,,World Environment Situation Room,,,Extreme,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",218.0,Ecuador,2018.0,3.92614,2018,,,,,World Environment Situation Room,,,Moderate,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",218.0,Ecuador,2018.0,2.09972,2018,,,,,World Environment Situation Room,,,High,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",218.0,Ecuador,2019.0,5.60357,2019,,,,,World Environment Situation Room,,,Moderate,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",218.0,Ecuador,2019.0,6.35956,2019,,,,,World Environment Situation Room,,,High,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",218.0,Ecuador,2019.0,1.20303,2019,,,,,World Environment Situation Room,,,Extreme,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",218.0,Ecuador,2020.0,0.72746,2020,,,,,World Environment Situation Room,,,Extreme,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",218.0,Ecuador,2020.0,3.71688,2020,,,,,World Environment Situation Room,,,Moderate,,E,D,G,,PERCENT
