Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Cause of death],[Disability status],[Education level],[Freq],[Grounds of discrimination],[Illicit Financial Flows],[Location],[Name of international institution],[Nature],[Observation Status],[Parliamentary committees],[Population Group],[Quantile],[Reporting Type],[Service Attribute],[Sex],[Type of occupation],[Units]
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",218.0,Ecuador,2000.0,14.52,2000,,,,,Organization of American States (OAS),,,,,,,,,,,,C,,,,,G,,BOTHSEX,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",218.0,Ecuador,2000.0,26.7,2000,,,,,World Health Organization Mortality Database,,,,,,,,,,,,C,,,,,G,,MALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",218.0,Ecuador,2000.0,2.3,2000,,,,,World Health Organization Mortality Database,,,,,,,,,,,,C,,,,,G,,FEMALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",218.0,Ecuador,2001.0,2.31,2001,,,,,World Health Organization Mortality Database,,,,,,,,,,,,C,,,,,G,,FEMALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",218.0,Ecuador,2001.0,23.47,2001,,,,,World Health Organization Mortality Database,,,,,,,,,,,,C,,,,,G,,MALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",218.0,Ecuador,2001.0,12.91,2001,,,,,Organization of American States (OAS),,,,,,,,,,,,C,,,,,G,,BOTHSEX,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",218.0,Ecuador,2002.0,14.58,2002,,,,,Organization of American States (OAS),,,,,,,,,,,,C,,,,,G,,BOTHSEX,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",218.0,Ecuador,2002.0,26.29,2002,,,,,World Health Organization Mortality Database,,,,,,,,,,,,C,,,,,G,,MALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",218.0,Ecuador,2002.0,2.84,2002,,,,,World Health Organization Mortality Database,,,,,,,,,,,,C,,,,,G,,FEMALE,,PER_100000_POP
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",218.0,Ecuador,2003.0,2.75,2003,,,,,World Health Organization Mortality Database,,,,,,,,,,,,C,,,,,G,,FEMALE,,PER_100000_POP
