Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Age],[Freq],[Location],[Nature],[Observation Status],[Reporting Type],[Sex],[Tariff regime (status)],[Type of product],[Type of speed],[Units]
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),218.0,Ecuador,2019.0,22.8021117038509,2019.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),218.0,Ecuador,2020.0,19.6685907950818,2020.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),218.0,Ecuador,2019.0,48.1631102249054,2019.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),218.0,Ecuador,2020.0,46.243163203017,2020.0,,,,,IMF,,,,,,,C,A,G,,,,,PERCENT
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",218.0,Ecuador,2019.0,24650.9089729892,2019.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",218.0,Ecuador,2020.0,19434.1431596635,2020.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",218.0,Ecuador,2005.0,14.90999,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,AGR,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",218.0,Ecuador,2005.0,9.53267,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ALP,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",218.0,Ecuador,2005.0,8.65454,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,IND,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",218.0,Ecuador,2005.0,18.40547,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ARM,,PERCENT
