Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Freq],[Location],[Nature],[Observation Status],[Reporting Type],[Severity of price levels],[Sex],[Type of product],[Units]
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),218.0,Ecuador,2001.0,21.0,2000-2002,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2000-2002.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),218.0,Ecuador,2002.0,22.7,2001-2003,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2001-2003.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),218.0,Ecuador,2003.0,22.7,2002-2004,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2002-2004.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),218.0,Ecuador,2004.0,22.7,2003-2005,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2003-2005.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),218.0,Ecuador,2005.0,22.4,2004-2006,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2004-2006.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),218.0,Ecuador,2006.0,22.8,2005-2007,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2005-2007.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),218.0,Ecuador,2007.0,22.1,2006-2008,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2006-2008.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),218.0,Ecuador,2008.0,21.3,2007-2009,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2007-2009.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),218.0,Ecuador,2009.0,16.0,2008-2010,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2008-2010.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),218.0,Ecuador,2010.0,12.3,2009-2011,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2009-2011.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),218.0,Ecuador,2011.0,8.4,2010-2012,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2010-2012.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),218.0,Ecuador,2012.0,8.8,2011-2013,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2011-2013.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),218.0,Ecuador,2013.0,8.8,2012-2014,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2012-2014.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),218.0,Ecuador,2014.0,8.7,2013-2015,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2013-2015.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),218.0,Ecuador,2015.0,9.0,2014-2016,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2014-2016.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),218.0,Ecuador,2016.0,9.7,2015-2017,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2015-2017.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),218.0,Ecuador,2017.0,10.7,2016-2018,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2016-2018.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),218.0,Ecuador,2018.0,11.6,2017-2019,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2017-2019.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),218.0,Ecuador,2019.0,13.7,2018-2020,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2018-2020. Estimates are based on projected values.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),218.0,Ecuador,2020.0,15.4,2019-2021,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2019-2021. Estimates are based on projected values.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),218.0,Ecuador,2015.0,20.7,2014-2016,,24.3,17.1,,National Entity,,The observation represents the 3-year average of the period 2014-2016. For years when official national data are not available the values are projected using FAO data or estimates.,ALLAGE,,,CA,A,G,,BOTHSEX,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),218.0,Ecuador,2015.0,31.0,2014-2016,,35.6,26.4,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2014-2016.,15+,,,G,A,G,,MALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),218.0,Ecuador,2015.0,33.6,2014-2016,,37.5,29.8,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2014-2016.,15+,,,G,A,G,,FEMALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),218.0,Ecuador,2016.0,43.5,2015-2017,,47.5,39.5,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2015-2017.,15+,,,G,A,G,,FEMALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),218.0,Ecuador,2016.0,36.5,2015-2017,,41.6,31.4,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2015-2017.,15+,,,G,A,G,,MALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),218.0,Ecuador,2016.0,23.3,2015-2017,,26.9,19.8,,National Entity,,The observation represents the 3-year average of the period 2015-2017. For years when official national data are not available the values are projected using FAO data or estimates.,ALLAGE,,,CA,A,G,,BOTHSEX,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),218.0,Ecuador,2017.0,26.2,2016-2018,,29.7,22.7,,National Entity,,The observation represents the 3-year average of the period 2016-2018. For years when official national data are not available the values are projected using FAO data or estimates.,ALLAGE,,,CA,A,G,,BOTHSEX,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),218.0,Ecuador,2017.0,46.8,2016-2018,,50.9,42.6,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2016-2018.,15+,,,G,A,G,,FEMALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),218.0,Ecuador,2017.0,41.3,2016-2018,,46.4,36.3,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2016-2018.,15+,,,G,A,G,,MALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),218.0,Ecuador,2018.0,42.7,2017-2019,,47.7,37.7,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2017-2019.,15+,,,G,A,G,,MALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),218.0,Ecuador,2018.0,48.1,2017-2019,,52.4,43.9,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2017-2019.,15+,,,G,A,G,,FEMALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),218.0,Ecuador,2018.0,29.2,2017-2019,,32.7,25.8,,National Entity,,The observation represents the 3-year average of the period 2017-2019. For years when official national data are not available the values are projected using FAO data or estimates.,ALLAGE,,,CA,A,G,,BOTHSEX,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),218.0,Ecuador,2019.0,32.7,2018-2020,,36.1,29.3,,National Entity,,The observation represents the 3-year average of the period 2018-2020. For years when official national data are not available the values are projected using FAO data or estimates.,ALLAGE,,,CA,A,G,,BOTHSEX,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),218.0,Ecuador,2019.0,51.0,2018-2020,,55.1,46.9,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2018-2020.,15+,,,G,A,G,,FEMALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),218.0,Ecuador,2019.0,46.4,2018-2020,,50.9,41.9,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2018-2020.,15+,,,G,A,G,,MALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),218.0,Ecuador,2020.0,59.2,2019-2021,,63.2,55.1,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2019-2021.,15+,,,G,A,G,,FEMALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),218.0,Ecuador,2020.0,52.0,2019-2021,,56.5,47.5,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2019-2021.,15+,,,G,A,G,,MALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),218.0,Ecuador,2020.0,36.8,2019-2021,,40.2,33.5,,National Entity,,The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available the values are projected using FAO data or estimates.,ALLAGE,,,CA,A,G,,BOTHSEX,,PERCENT
