Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Education level],[Freq],[Location],[Nature],[Quantile],[Reporting Type],[Sex],[Type of skill],[Units]
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),218.0,Ecuador,2006.0,39.57567,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 2. Grade 3; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,GRAD23,,,C,,G,MALE,SKILL_MATH,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),218.0,Ecuador,2006.0,49.82351,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 2. Grade 3; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,GRAD23,,,C,,G,FEMALE,SKILL_READ,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),218.0,Ecuador,2006.0,46.02629,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 2. Grade 3; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,GRAD23,,,C,,G,MALE,SKILL_READ,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),218.0,Ecuador,2006.0,20.94626,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,PRIMAR,,,C,,G,MALE,SKILL_READ,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),218.0,Ecuador,2006.0,22.36,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,PRIMAR,,,C,,G,BOTHSEX,SKILL_READ,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),218.0,Ecuador,2006.0,25.94788,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,PRIMAR,,,C,,G,FEMALE,SKILL_MATH,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),218.0,Ecuador,2006.0,25.81892,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,PRIMAR,,,C,,G,MALE,SKILL_MATH,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),218.0,Ecuador,2006.0,25.75,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,PRIMAR,,,C,,G,BOTHSEX,SKILL_MATH,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),218.0,Ecuador,2006.0,47.91,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 2. Grade 3; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,GRAD23,,,C,,G,BOTHSEX,SKILL_READ,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),218.0,Ecuador,2006.0,40.17,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 2. Grade 3; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,GRAD23,,,C,,G,BOTHSEX,SKILL_MATH,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),218.0,Ecuador,2006.0,23.57221,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,PRIMAR,,,C,,G,FEMALE,SKILL_READ,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),218.0,Ecuador,2006.0,40.60077,2006,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 2. Grade 3; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,GRAD23,,,C,,G,FEMALE,SKILL_MATH,PERCENT
4.0,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),218.0,Ecuador,2013.0,23.7,2013,,,,,Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6; UNESCO Institute for Statistics.  Data extracted on 27 April 2023.,,,,PRIMAR,,,C,,G,BOTHSEX,SKILL_READ,PERCENT
