Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Location],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
5.0,5.1,5.1.1,SG_LGL_GENEQLFP,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 1: overarching legal frameworks and public life",600.0,Paraguay,2018.0,80.0,2018,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQLFP,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 1: overarching legal frameworks and public life",600.0,Paraguay,2020.0,80.0,2020,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQLFP,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 1: overarching legal frameworks and public life",600.0,Paraguay,2022.0,80.0,2022,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQVAW,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) --  Area 2: violence against women",600.0,Paraguay,2018.0,88.89,2018,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQVAW,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) --  Area 2: violence against women",600.0,Paraguay,2020.0,88.89,2020,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQVAW,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) --  Area 2: violence against women",600.0,Paraguay,2022.0,88.89,2022,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQEMP,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 3: employment and economic benefits",600.0,Paraguay,2018.0,100.0,2018,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQEMP,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 3: employment and economic benefits",600.0,Paraguay,2020.0,100.0,2020,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQEMP,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 3: employment and economic benefits",600.0,Paraguay,2022.0,100.0,2022,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQMAR,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family",600.0,Paraguay,2018.0,81.82,2018,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
