Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Cities],[Custom Breakdown],[Freq],[Hazard type],[Level_of_government],[Location],[Nature],[Reporting Type],[Sex],[Type of facilities],[Units]
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),604.0,Peru,2000.0,47.41309,2000,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),604.0,Peru,2002.0,45.56432,2002,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),604.0,Peru,2004.0,43.71555,2004,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),604.0,Peru,2006.0,41.86678,2006,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),604.0,Peru,2008.0,40.018,2008,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),604.0,Peru,2010.0,38.16923,2010,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),604.0,Peru,2012.0,36.32046,2012,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),604.0,Peru,2014.0,34.47168,2014,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.2,11.2.1,SP_TRN_PUBL,Proportion of population that has convenient access to public transport (%),604.0,Peru,2020.0,26.3,2020,,,,,UN-Habitat Urban Indicators Database,,"Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,PE_AYACUCHO,,,,,,E,G,,,PERCENT
11.0,11.2,11.2.1,SP_TRN_PUBL,Proportion of population that has convenient access to public transport (%),604.0,Peru,2020.0,25.7,2020,,,,,UN-Habitat Urban Indicators Database,,"Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,PE_AREQUIPA,,,,,,E,G,,,PERCENT
