Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Bioclimatic belt],[Freq],[Land cover],[Level/Status],[Location],[Mountain Elevation],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),858.0,Uruguay,2000.0,17502,2000,,,,,FAO. FAOSTAT,,,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),858.0,Uruguay,2010.0,17502,2010,,,,,FAO. FAOSTAT,,,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),858.0,Uruguay,2015.0,17502,2015,,,,,FAO. FAOSTAT,,,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),858.0,Uruguay,2016.0,17502,2016,,,,,FAO. FAOSTAT,,,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),858.0,Uruguay,2017.0,17502,2017,,,,,FAO. FAOSTAT,,,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),858.0,Uruguay,2018.0,17502,2018,,,,,FAO. FAOSTAT,,,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),858.0,Uruguay,2019.0,17502,2019,,,,,FAO. FAOSTAT,,,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),858.0,Uruguay,2020.0,17502,2020,,,,,FAO. FAOSTAT,,,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),858.0,Uruguay,2000.0,1369,2000,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),858.0,Uruguay,2010.0,1731.3,2010,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),858.0,Uruguay,2015.0,1920,2015,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),858.0,Uruguay,2016.0,1947,2016,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),858.0,Uruguay,2017.0,1968,2017,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),858.0,Uruguay,2018.0,1989,2018,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),858.0,Uruguay,2019.0,2010,2019,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),858.0,Uruguay,2020.0,2031,2020,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),858.0,Uruguay,2000.0,7.82,2000,,,,,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,,Officially reported data,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),858.0,Uruguay,2010.0,9.89,2010,,,,,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,,Officially reported data,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),858.0,Uruguay,2015.0,10.97,2015,,,,,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,,Officially reported data,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),858.0,Uruguay,2016.0,11.12,2016,,,,,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,,Officially reported data,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),858.0,Uruguay,2017.0,11.24,2017,,,,,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,,Officially reported data,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),858.0,Uruguay,2018.0,11.36,2018,,,,,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,,Officially reported data,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),858.0,Uruguay,2019.0,11.48,2019,,,,,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,,Officially reported data,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),858.0,Uruguay,2020.0,11.6,2020,,,,,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,,Officially reported data,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.2,ER_PTD_FRHWTR,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),858.0,Uruguay,2000.0,0,2000,,0,0,,"BirdLife International, IUCN and UNEP-WCMC (2023). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",,,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.2,ER_PTD_FRHWTR,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),858.0,Uruguay,2001.0,0,2001,,0,0,,"BirdLife International, IUCN and UNEP-WCMC (2023). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",,,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.2,ER_PTD_FRHWTR,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),858.0,Uruguay,2002.0,0,2002,,0,0,,"BirdLife International, IUCN and UNEP-WCMC (2023). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",,,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.2,ER_PTD_FRHWTR,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),858.0,Uruguay,2003.0,0,2003,,0,0,,"BirdLife International, IUCN and UNEP-WCMC (2023). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",,,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.2,ER_PTD_FRHWTR,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),858.0,Uruguay,2004.0,0.7125,2004,,0.7125,0.7125,,"BirdLife International, IUCN and UNEP-WCMC (2023). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",,,,,,,,,,C,A,G,,PERCENT
