Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Location],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
5.0,5.1,5.1.1,SG_LGL_GENEQLFP,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 1: overarching legal frameworks and public life",858.0,Uruguay,2020.0,50.0,2020,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQLFP,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 1: overarching legal frameworks and public life",858.0,Uruguay,2022.0,50.0,2022,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQVAW,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) --  Area 2: violence against women",858.0,Uruguay,2020.0,88.89,2020,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQVAW,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) --  Area 2: violence against women",858.0,Uruguay,2022.0,88.89,2022,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQEMP,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 3: employment and economic benefits",858.0,Uruguay,2020.0,90.0,2020,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQEMP,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 3: employment and economic benefits",858.0,Uruguay,2022.0,90.0,2022,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQMAR,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family",858.0,Uruguay,2020.0,81.82,2020,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.1,5.1.1,SG_LGL_GENEQMAR,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family",858.0,Uruguay,2022.0,81.82,2022,,,,,UN Women,,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ",,,G,,G,,PERCENT
5.0,5.2,5.2.1,VC_VAW_MARR,"Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)",858.0,Uruguay,2018.0,4.3,2000-2018,,9.2,2.0,,"All Surveys and studies that are population-based, representative at the national or sub-national level, conducted between 2000 and 2018 and measured IPV using act-specific questions.",,,15-49,,E,,G,FEMALE,PERCENT
5.0,5.2,5.2.1,VC_VAW_MARR,"Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)",858.0,Uruguay,2018.0,3.4,2000-2018,,7.1,1.6,,"All Surveys and studies that are population-based, representative at the national or sub-national level, conducted between 2000 and 2018 and measured IPV using act-specific questions.",,,15+,,E,,G,FEMALE,PERCENT
5.0,5.3,5.3.1,SP_DYN_MRBF18,Proportion of women aged 20-24 years who were married or in a union before age 18 (%),858.0,Uruguay,2013.0,24.627,2013,,,,,MICS 2013,, ,20-24,,C,,G,FEMALE,PER_MARW_20T24Y
5.0,5.3,5.3.1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),858.0,Uruguay,2013.0,0.7,2013,,,,,MICS 2013,, ,20-24,,C,,G,FEMALE,PER_MARW_20T24Y
5.0,5.4,5.4.1,SL_DOM_TSPDCW,"Proportion of time spent on unpaid care work, by sex, age and location (%)",858.0,Uruguay,2007.0,3.47222,2007,,,,,Calculated by UNSD based on available country data from the Survey on the use of time and unpaid work 2007 to apply ICATUS.,,,14+,ALLAREA,CA,,G,FEMALE,PERCENT
5.0,5.4,5.4.1,SL_DOM_TSPDCW,"Proportion of time spent on unpaid care work, by sex, age and location (%)",858.0,Uruguay,2007.0,1.38889,2007,,,,,Calculated by UNSD based on available country data from the Survey on the use of time and unpaid work 2007 to apply ICATUS.,,,14+,ALLAREA,CA,,G,MALE,PERCENT
5.0,5.4,5.4.1,SL_DOM_TSPDCW,"Proportion of time spent on unpaid care work, by sex, age and location (%)",858.0,Uruguay,2013.0,5.56969,2013,,,,,"Data provided by the Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of special tabulations from time-use survey.",,,15+,ALLAREA,CA,,G,FEMALE,PERCENT
5.0,5.4,5.4.1,SL_DOM_TSPDCW,"Proportion of time spent on unpaid care work, by sex, age and location (%)",858.0,Uruguay,2013.0,2.754,2013,,,,,"Data provided by the Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of special tabulations from time-use survey.",,,15+,ALLAREA,CA,,G,MALE,PERCENT
5.0,5.4,5.4.1,SL_DOM_TSPDDC,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",858.0,Uruguay,2007.0,6.25,2007,,,,,Calculated by UNSD based on available country data from the Survey on the use of time and unpaid work 2007 to apply ICATUS.,,,14+,ALLAREA,CA,,G,MALE,PERCENT
