Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Cities],[Custom Breakdown],[Freq],[Hazard type],[Level_of_government],[Location],[Nature],[Reporting Type],[Sex],[Type of facilities],[Units]
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),862.0,Venezuela (Bolivarian Republic of),2000.0,27.82014,2000,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),862.0,Venezuela (Bolivarian Republic of),2002.0,26.40689,2002,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),862.0,Venezuela (Bolivarian Republic of),2004.0,25.7,2004,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),862.0,Venezuela (Bolivarian Republic of),2006.0,25.7,2006,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,URBAN,G,G,,,PERCENT
11.0,11.2,11.2.1,SP_TRN_PUBL,Proportion of population that has convenient access to public transport (%),862.0,Venezuela (Bolivarian Republic of),2020.0,68.1,2020,,,,,UN-Habitat Urban Indicators Database,,"Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,VE_YARITAGUA,,,,,,E,G,,,PERCENT
11.0,11.2,11.2.1,SP_TRN_PUBL,Proportion of population that has convenient access to public transport (%),862.0,Venezuela (Bolivarian Republic of),2020.0,68.2,2020,,,,,UN-Habitat Urban Indicators Database,,"Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,VE_CIUDAD_GUAYANA,,,,,,E,G,,,PERCENT
11.0,11.2,11.2.1,SP_TRN_PUBL,Proportion of population that has convenient access to public transport (%),862.0,Venezuela (Bolivarian Republic of),2020.0,78.3,2020,,,,,UN-Habitat Urban Indicators Database,,"Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,VE_BARCELONA,,,,,,E,G,,,PERCENT
11.0,11.2,11.2.1,SP_TRN_PUBL,Proportion of population that has convenient access to public transport (%),862.0,Venezuela (Bolivarian Republic of),2020.0,64.7,2020,,,,,UN-Habitat Urban Indicators Database,,"Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,VE_PUERTO_LA_CRUZ,,,,,,E,G,,,PERCENT
11.0,11.2,11.2.1,SP_TRN_PUBL,Proportion of population that has convenient access to public transport (%),862.0,Venezuela (Bolivarian Republic of),2020.0,65.3,2020,,,,,UN-Habitat Urban Indicators Database,,"Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,VE_ACARIGUA_ARAURE,,,,,,E,G,,,PERCENT
11.0,11.2,11.2.1,SP_TRN_PUBL,Proportion of population that has convenient access to public transport (%),862.0,Venezuela (Bolivarian Republic of),2020.0,36.7,2020,,,,,UN-Habitat Urban Indicators Database,,"Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,VE_SAN_CARLOS_DEL_ZULIA,,,,,,E,G,,,PERCENT
