Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Freq],[Location],[Nature],[Observation Status],[Reporting Type],[Severity of price levels],[Sex],[Type of product],[Units]
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),862.0,Venezuela (Bolivarian Republic of),2001.0,14.9,2000-2002,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2000-2002.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),862.0,Venezuela (Bolivarian Republic of),2002.0,15.1,2001-2003,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2001-2003.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),862.0,Venezuela (Bolivarian Republic of),2003.0,14.6,2002-2004,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2002-2004.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),862.0,Venezuela (Bolivarian Republic of),2004.0,10,2003-2005,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2003-2005.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),862.0,Venezuela (Bolivarian Republic of),2005.0,8.4,2004-2006,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2004-2006.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),862.0,Venezuela (Bolivarian Republic of),2006.0,7,2005-2007,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2005-2007.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),862.0,Venezuela (Bolivarian Republic of),2007.0,4.8,2006-2008,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2006-2008.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),862.0,Venezuela (Bolivarian Republic of),2008.0,2.8,2007-2009,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2007-2009.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),862.0,Venezuela (Bolivarian Republic of),2009.0,<2.5,2008-2010,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2008-2010.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),862.0,Venezuela (Bolivarian Republic of),2010.0,<2.5,2009-2011,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2009-2011.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),862.0,Venezuela (Bolivarian Republic of),2011.0,<2.5,2010-2012,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2010-2012.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),862.0,Venezuela (Bolivarian Republic of),2012.0,<2.5,2011-2013,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2011-2013.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),862.0,Venezuela (Bolivarian Republic of),2013.0,2.5,2012-2014,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2012-2014.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),862.0,Venezuela (Bolivarian Republic of),2014.0,4.5,2013-2015,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2013-2015.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),862.0,Venezuela (Bolivarian Republic of),2015.0,11.3,2014-2016,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2014-2016.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),862.0,Venezuela (Bolivarian Republic of),2016.0,16.4,2015-2017,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2015-2017.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),862.0,Venezuela (Bolivarian Republic of),2017.0,22.2,2016-2018,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2016-2018.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),862.0,Venezuela (Bolivarian Republic of),2018.0,22.7,2017-2019,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2017-2019.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),862.0,Venezuela (Bolivarian Republic of),2019.0,24.9,2018-2020,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2018-2020. Estimates are based on projected values.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),862.0,Venezuela (Bolivarian Republic of),2020.0,22.9,2019-2021,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2019-2021. Estimates are based on projected values.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),862.0,Venezuela (Bolivarian Republic of),2015.0,,2014-2016,,,,,Food and Agriculture Organization of the United Nations (FAO),,Missing value â€“ suppressed,ALLAGE,,,,Q,G,,BOTHSEX,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),862.0,Venezuela (Bolivarian Republic of),2015.0,,2014-2016,,,,,Food and Agriculture Organization of the United Nations (FAO),,Missing value â€“ suppressed,15+,,,,Q,G,,MALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),862.0,Venezuela (Bolivarian Republic of),2015.0,,2014-2016,,,,,Food and Agriculture Organization of the United Nations (FAO),,Missing value â€“ suppressed,15+,,,,Q,G,,FEMALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),862.0,Venezuela (Bolivarian Republic of),2016.0,,2015-2017,,,,,Food and Agriculture Organization of the United Nations (FAO),,Missing value â€“ suppressed,15+,,,,Q,G,,FEMALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),862.0,Venezuela (Bolivarian Republic of),2016.0,,2015-2017,,,,,Food and Agriculture Organization of the United Nations (FAO),,Missing value â€“ suppressed,15+,,,,Q,G,,MALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),862.0,Venezuela (Bolivarian Republic of),2016.0,,2015-2017,,,,,Food and Agriculture Organization of the United Nations (FAO),,Missing value â€“ suppressed,ALLAGE,,,,Q,G,,BOTHSEX,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),862.0,Venezuela (Bolivarian Republic of),2017.0,,2016-2018,,,,,Food and Agriculture Organization of the United Nations (FAO),,Missing value â€“ suppressed,15+,,,,Q,G,,FEMALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),862.0,Venezuela (Bolivarian Republic of),2017.0,,2016-2018,,,,,Food and Agriculture Organization of the United Nations (FAO),,Missing value â€“ suppressed,ALLAGE,,,,Q,G,,BOTHSEX,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),862.0,Venezuela (Bolivarian Republic of),2017.0,,2016-2018,,,,,Food and Agriculture Organization of the United Nations (FAO),,Missing value â€“ suppressed,15+,,,,Q,G,,MALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),862.0,Venezuela (Bolivarian Republic of),2018.0,,2017-2019,,,,,Food and Agriculture Organization of the United Nations (FAO),,Missing value â€“ suppressed,15+,,,,Q,G,,FEMALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),862.0,Venezuela (Bolivarian Republic of),2018.0,,2017-2019,,,,,Food and Agriculture Organization of the United Nations (FAO),,Missing value â€“ suppressed,ALLAGE,,,,Q,G,,BOTHSEX,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),862.0,Venezuela (Bolivarian Republic of),2018.0,,2017-2019,,,,,Food and Agriculture Organization of the United Nations (FAO),,Missing value â€“ suppressed,15+,,,,Q,G,,MALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),862.0,Venezuela (Bolivarian Republic of),2019.0,,2018-2020,,,,,Food and Agriculture Organization of the United Nations (FAO),,Missing value â€“ suppressed,15+,,,,Q,G,,MALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),862.0,Venezuela (Bolivarian Republic of),2019.0,,2018-2020,,,,,Food and Agriculture Organization of the United Nations (FAO),,Missing value â€“ suppressed,ALLAGE,,,,Q,G,,BOTHSEX,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),862.0,Venezuela (Bolivarian Republic of),2019.0,,2018-2020,,,,,Food and Agriculture Organization of the United Nations (FAO),,Missing value â€“ suppressed,15+,,,,Q,G,,FEMALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),862.0,Venezuela (Bolivarian Republic of),2020.0,,2019-2021,,,,,Food and Agriculture Organization of the United Nations (FAO),,Missing value â€“ suppressed,ALLAGE,,,,Q,G,,BOTHSEX,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),862.0,Venezuela (Bolivarian Republic of),2020.0,,2019-2021,,,,,Food and Agriculture Organization of the United Nations (FAO),,Missing value â€“ suppressed,15+,,,,Q,G,,MALE,,PERCENT
2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),862.0,Venezuela (Bolivarian Republic of),2020.0,,2019-2021,,,,,Food and Agriculture Organization of the United Nations (FAO),,Missing value â€“ suppressed,15+,,,,Q,G,,FEMALE,,PERCENT
