Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Freq],[IHR Capacity],[Location],[Name of non-communicable disease],[Nature],[Observation Status],[Reporting Type],[Sex],[Substance use disorders],[Type of occupation],[Units]
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),862.0,Venezuela (Bolivarian Republic of),1997.0,95.3,1997.0,,,,,"Health Situation in the Americas: Basic Indicators 2002. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Special Program for Health Analysis; 2002.",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),862.0,Venezuela (Bolivarian Republic of),2000.0,94,2000.0,,,,,"Encuesta por conglomerados de indicadores múltiples de final de década MICS Venezuela 2000. Documento técnico. Venezuela: Instituto Nacional do Estadística, Fondo de las Naciones Unidas para la Infancia (UNICEF); 2001 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),862.0,Venezuela (Bolivarian Republic of),2003.0,95,2003.0,,,,,"Análisis de la situacion de la niñez y la mujer en Venezuela 2005. Caracas: Ministerio de Planificacíon y Desarrollo, Fondo de las Naciones Unidas para la Infancia (UNICEF); 2005 (in Spanish).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),862.0,Venezuela (Bolivarian Republic of),2011.0,98.1,2011.0,,,,,"PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 30 December 2021).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),862.0,Venezuela (Bolivarian Republic of),2012.0,96,2012.0,,,,,Instituto Nacional de Estadística. Sistema de Consulta de Estadísticas Vitales 2012. (Data provided by UNICEF April 2016).,,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),862.0,Venezuela (Bolivarian Republic of),2014.0,99.5,2014.0,,,,,"PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 30 December 2021).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),862.0,Venezuela (Bolivarian Republic of),2015.0,99.3,2015.0,,,,,"PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 30 December 2021).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),862.0,Venezuela (Bolivarian Republic of),2016.0,99.3,2016.0,,,,,"PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 30 December 2021).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),862.0,Venezuela (Bolivarian Republic of),2017.0,99.1,2017.0,,,,,"PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 30 December 2021).",,,,,,,,C,A,G,,,,PERCENT
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),862.0,Venezuela (Bolivarian Republic of),2018.0,98.7,2018.0,,,,,"PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 30 December 2021).",,,,,,,,C,A,G,,,,PERCENT
