Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Counterpart],[Disability status],[Fiscal intervention stage],[Freq],[Grounds of discrimination],[Location],[Migratory status],[Name of international institution],[Nature],[Observation Status],[Policy Domains],[Quantile],[Reporting Type],[Sex],[Type of product],[Units]
10.0,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),604.0,Peru,2021.0,0.39,2021,,,,,World Bank,,Estimated from income data. Growth rates are for the period of 2016-2021.,,,,,,,,,,G,,,B40,G,,,PERCENT
10.0,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),604.0,Peru,2021.0,-2.15,2021,,,,,World Bank,,Estimated from income data. Growth rates are for the period of 2016-2021.,,,,,,,,,,G,,,_T,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),604.0,Peru,1997.0,25.4,1997,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ENAHO. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),604.0,Peru,1998.0,24.0,1998,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ENAHO. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),604.0,Peru,1999.0,23.6,1999,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ENAHO. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),604.0,Peru,2000.0,24.2,2000,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ENAHO. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),604.0,Peru,2001.0,23.8,2001,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ENAHO. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),604.0,Peru,2002.0,24.2,2002,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ENAHO. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),604.0,Peru,2003.0,22.8,2003,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ENAHO. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),604.0,Peru,2004.0,23.9,2004,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ENAHO. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),604.0,Peru,2005.0,23.9,2005,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ENAHO. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),604.0,Peru,2006.0,24.2,2006,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ENAHO. Estimated from unit-record income data. ,,,,,,,,,,G,,,B50,G,,,PERCENT
