Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Bioclimatic belt],[Freq],[Land cover],[Level/Status],[Location],[Mountain Elevation],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),604.0,Peru,2000.0,128000.0,2000,,,,,FAO. FAOSTAT,,,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),604.0,Peru,2010.0,128000.0,2010,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),604.0,Peru,2015.0,128000.0,2015,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),604.0,Peru,2016.0,128000.0,2016,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),604.0,Peru,2017.0,128000.0,2017,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),604.0,Peru,2018.0,128000.0,2018,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),604.0,Peru,2019.0,128000.0,2019,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),604.0,Peru,2020.0,128000.0,2020,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),604.0,Peru,2000.0,75297.83,2000,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),604.0,Peru,2010.0,74049.8,2010,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),604.0,Peru,2015.0,73194.53,2015,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),604.0,Peru,2016.0,73010.28,2016,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
