Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Freq],[Location],[Nature],[Observation Status],[Reporting Type],[Severity of price levels],[Sex],[Type of product],[Units]
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),604.0,Peru,2001.0,21.5,2000-2002,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2000-2002.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),604.0,Peru,2002.0,22.9,2001-2003,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2001-2003.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),604.0,Peru,2003.0,23.1,2002-2004,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2002-2004.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),604.0,Peru,2004.0,21.7,2003-2005,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2003-2005.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),604.0,Peru,2005.0,18.8,2004-2006,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2004-2006.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),604.0,Peru,2006.0,15.7,2005-2007,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2005-2007.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),604.0,Peru,2007.0,13.7,2006-2008,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2006-2008.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),604.0,Peru,2008.0,11.6,2007-2009,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2007-2009.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),604.0,Peru,2009.0,9.7,2008-2010,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2008-2010.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),604.0,Peru,2010.0,8.7,2009-2011,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2009-2011.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),604.0,Peru,2011.0,7.7,2010-2012,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2010-2012.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),604.0,Peru,2012.0,6.7,2011-2013,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2011-2013.,,,,E,A,G,,,,PERCENT
2.0,2.1,2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),604.0,Peru,2013.0,5.7,2012-2014,,,,,Food and Agriculture Organization of the United Nations (FAO),,The observation represents the 3-year average of the period 2012-2014.,,,,E,A,G,,,,PERCENT
