Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Age],[Freq],[Location],[Mode of transportation],[Nature],[Observation Status],[Reporting Type],[Sex],[Type of mobile technology],[Units]
9.0,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",604.0,Peru,2017.0,316825703.0,2017.0,,,,,ICAO,,,,,,,AIR,C,,G,,,T_KM
9.0,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",604.0,Peru,2018.0,313264641.0,2018.0,,,,,ICAO,,,,,,,AIR,C,,G,,,T_KM
9.0,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",604.0,Peru,2019.0,340335049.0,2019.0,,,,,ICAO,,,,,,,AIR,C,,G,,,T_KM
9.0,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",604.0,Peru,2020.0,96451838.0,2020.0,,,,,ICAO,,,,,,,AIR,C,,G,,,T_KM
9.0,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",604.0,Peru,2021.0,258342932.0,2021.0,,,,,ICAO,,,,,,,AIR,C,,G,,,T_KM
9.0,9.1,9.1.2,IS_RDP_PFVOL,"Passenger volume (passenger kilometres), by mode of transport",604.0,Peru,2017.0,24879504357.0,2017.0,,,,,ICAO,,,,,,,AIR,C,,G,,,P_KM
9.0,9.1,9.1.2,IS_RDP_PFVOL,"Passenger volume (passenger kilometres), by mode of transport",604.0,Peru,2018.0,27076329064.0,2018.0,,,,,ICAO,,,,,,,AIR,C,,G,,,P_KM
9.0,9.1,9.1.2,IS_RDP_PFVOL,"Passenger volume (passenger kilometres), by mode of transport",604.0,Peru,2019.0,27820380915.0,2019.0,,,,,ICAO,,,,,,,AIR,C,,G,,,P_KM
9.0,9.1,9.1.2,IS_RDP_PFVOL,"Passenger volume (passenger kilometres), by mode of transport",604.0,Peru,2020.0,6678575845.0,2020.0,,,,,ICAO,,,,,,,AIR,C,,G,,,P_KM
9.0,9.1,9.1.2,IS_RDP_PFVOL,"Passenger volume (passenger kilometres), by mode of transport",604.0,Peru,2021.0,10455981962.0,2021.0,,,,,ICAO,,,,,,,AIR,C,,G,,,P_KM
9.0,9.1,9.1.1,SP_ROD_R2KM,Proportion of the rural population who live within 2 km of an all-season road,604.0,Peru,2016.0,37.2,2016.0,,,,,"World Bank. 2019. Measuring Rural Access: Update 2017/2018. Washington, DC: World Bank Group. http://documents.worldbank.org/curated/en/543621569435525309/World-Measuring-Rural-Access-Update-2017-18",,,,,,RURAL,,E,,G,,,PERCENT
9.0,9.1,9.1.2,IS_RDP_PORFVOL,"Container port traffic, maritime transport (twenty-foot equivalent units - TEUs)",604.0,Peru,2010.0,1522741.0,2010.0,,,,,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",,,,,,,SEA,E,,G,,,TEU
9.0,9.1,9.1.2,IS_RDP_PORFVOL,"Container port traffic, maritime transport (twenty-foot equivalent units - TEUs)",604.0,Peru,2011.0,1827923.0,2011.0,,,,,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",,,,,,,SEA,E,,G,,,TEU
9.0,9.1,9.1.2,IS_RDP_PORFVOL,"Container port traffic, maritime transport (twenty-foot equivalent units - TEUs)",604.0,Peru,2012.0,2009700.0,2012.0,,,,,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",,,,,,,SEA,E,,G,,,TEU
9.0,9.1,9.1.2,IS_RDP_PORFVOL,"Container port traffic, maritime transport (twenty-foot equivalent units - TEUs)",604.0,Peru,2013.0,2045265.0,2013.0,,,,,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",,,,,,,SEA,E,,G,,,TEU
9.0,9.1,9.1.2,IS_RDP_PORFVOL,"Container port traffic, maritime transport (twenty-foot equivalent units - TEUs)",604.0,Peru,2014.0,2221825.0,2014.0,,,,,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",,,,,,,SEA,E,,G,,,TEU
9.0,9.1,9.1.2,IS_RDP_PORFVOL,"Container port traffic, maritime transport (twenty-foot equivalent units - TEUs)",604.0,Peru,2015.0,2158722.0,2015.0,,,,,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",,,,,,,SEA,E,,G,,,TEU
9.0,9.1,9.1.2,IS_RDP_PORFVOL,"Container port traffic, maritime transport (twenty-foot equivalent units - TEUs)",604.0,Peru,2016.0,2321583.0,2016.0,,,,,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",,,,,,,SEA,E,,G,,,TEU
9.0,9.1,9.1.2,IS_RDP_PORFVOL,"Container port traffic, maritime transport (twenty-foot equivalent units - TEUs)",604.0,Peru,2017.0,2540960.0,2017.0,,,,,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",,,,,,,SEA,E,,G,,,TEU
9.0,9.1,9.1.2,IS_RDP_PORFVOL,"Container port traffic, maritime transport (twenty-foot equivalent units - TEUs)",604.0,Peru,2018.0,2667974.0,2018.0,,,,,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",,,,,,,SEA,E,,G,,,TEU
9.0,9.1,9.1.2,IS_RDP_PORFVOL,"Container port traffic, maritime transport (twenty-foot equivalent units - TEUs)",604.0,Peru,2019.0,2634623.0,2019.0,,,,,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",,,,,,,SEA,E,,G,,,TEU
